"","OB1","OB3","OB4","YB1","YB3","YB4"
"ENSMUSG00000000001",8651,7507,12736,8001,8889,8816
"ENSMUSG00000000003",0,0,0,0,0,0
"ENSMUSG00000000028",86,249,185,63,74,231
"ENSMUSG00000000031",0,0,0,0,0,0
"ENSMUSG00000000037",0,18,0,139,0,0
"ENSMUSG00000000049",0,0,0,8,0,0
"ENSMUSG00000000056",1569,2289,3375,1737,2445,1993
"ENSMUSG00000000058",36293,42809,58090,30123,49506,42612
"ENSMUSG00000000078",53475,38838,61042,43724,33291,37551
"ENSMUSG00000000085",3109,2577,3790,3718,3436,3388
"ENSMUSG00000000088",1570,1182,1725,1597,1543,1400
"ENSMUSG00000000093",917,1015,1392,996,1871,1441
"ENSMUSG00000000094",591,652,1638,814,1246,860
"ENSMUSG00000000103",0,0,0,0,0,0
"ENSMUSG00000000120",12,4,12,6,2,1
"ENSMUSG00000000125",0,0,0,0,0,1
"ENSMUSG00000000126",89,32,174,0,172,59
"ENSMUSG00000000127",1353,1574,2046,1353,1899,1727
"ENSMUSG00000000131",3096,2690,4732,4139,3118,3291
"ENSMUSG00000000134",3067,2392,5765,3061,3996,2442
"ENSMUSG00000000142",740,880,1658,726,1183,1230
"ENSMUSG00000000148",1130,959,1745,1240,1845,1743
"ENSMUSG00000000149",5495,5474,9095,6616,7461,6133
"ENSMUSG00000000154",171,289,504,144,40,93
"ENSMUSG00000000157",0,0,10,0,12,2
"ENSMUSG00000000159",1271,1577,2039,874,2153,1318
"ENSMUSG00000000167",17,23,79,72,104,43
"ENSMUSG00000000168",3764,3181,4583,3394,4605,3130
"ENSMUSG00000000171",4022,4392,4700,4042,4826,4670
"ENSMUSG00000000182",0,0,0,0,0,0
"ENSMUSG00000000183",0,0,0,0,0,0
"ENSMUSG00000000184",3528,4037,4389,4552,4446,5026
"ENSMUSG00000000194",2684,1919,2750,3040,3645,2885
"ENSMUSG00000000197",0,0,0,0,0,0
"ENSMUSG00000000202",0,0,33,0,0,54
"ENSMUSG00000000204",105,0,126,0,0,0
"ENSMUSG00000000214",0,6,22,0,64,0
"ENSMUSG00000000215",0,0,0,0,0,0
"ENSMUSG00000000216",0,4,4,0,4,0
"ENSMUSG00000000223",0,0,0,0,0,0
"ENSMUSG00000000244",0,30,51,0,0,0
"ENSMUSG00000000247",0,0,63,18,0,33
"ENSMUSG00000000248",0,0,0,0,0,0
"ENSMUSG00000000253",326,701,1176,643,1003,858
"ENSMUSG00000000263",0,1,1,6,7,20
"ENSMUSG00000000266",1043,750,1697,1035,798,1803
"ENSMUSG00000000275",4635,4884,8757,5859,4897,4626
"ENSMUSG00000000276",2525,2774,3576,2481,3729,3120
"ENSMUSG00000000278",2458,1575,2487,1419,2261,1407
"ENSMUSG00000000282",589,352,581,507,366,551
"ENSMUSG00000000290",0,111,409,0,76,174
"ENSMUSG00000000295",277,569,633,237,936,657
"ENSMUSG00000000296",1215,1767,2138,1330,3011,2694
"ENSMUSG00000000301",59,41,20,7,48,30
"ENSMUSG00000000303",0,5,107,0,6,0
"ENSMUSG00000000305",0,39,74,407,95,3
"ENSMUSG00000000308",0,2,2,0,1,51
"ENSMUSG00000000317",3283,3499,4829,2987,3096,3360
"ENSMUSG00000000318",0,0,0,0,0,14
"ENSMUSG00000000320",2030,3809,7206,1458,4260,5091
"ENSMUSG00000000325",697,878,1467,381,1139,976
"ENSMUSG00000000326",3027,2451,3779,2321,4118,3014
"ENSMUSG00000000339",1693,1353,1624,1141,2071,1576
"ENSMUSG00000000340",111,196,660,195,262,437
"ENSMUSG00000000346",29945,26274,39393,23755,32591,28659
"ENSMUSG00000000355",997,733,1016,901,1140,733
"ENSMUSG00000000359",155,115,145,86,152,144
"ENSMUSG00000000365",0,0,0,0,0,0
"ENSMUSG00000000374",1902,1678,2767,786,1322,1202
"ENSMUSG00000000378",3918,2984,4418,4274,5223,3790
"ENSMUSG00000000381",0,0,0,0,0,0
"ENSMUSG00000000384",169,106,309,328,192,294
"ENSMUSG00000000385",71,52,1,6,5,0
"ENSMUSG00000000386",0,92,6,0,0,0
"ENSMUSG00000000392",0,83,0,0,105,60
"ENSMUSG00000000394",0,0,0,0,0,0
"ENSMUSG00000000399",2457,2604,3675,2749,3609,3256
"ENSMUSG00000000402",0,1,2,0,1,0
"ENSMUSG00000000409",45,8,0,0,96,36
"ENSMUSG00000000411",1,13,0,1,0,0
"ENSMUSG00000000416",927,691,730,656,486,920
"ENSMUSG00000000420",4720,4396,6288,5080,5116,5285
"ENSMUSG00000000435",0,0,0,0,0,0
"ENSMUSG00000000439",1376,1274,1936,1443,1393,1132
"ENSMUSG00000000440",181,173,510,202,232,92
"ENSMUSG00000000441",7127,6495,9297,8320,7809,7394
"ENSMUSG00000000486",58,63,41,61,72,87
"ENSMUSG00000000489",9301,7846,9291,9920,10285,10323
"ENSMUSG00000000530",57812,40407,70700,47489,49466,42854
"ENSMUSG00000000531",19913,13957,16463,16622,12330,12569
"ENSMUSG00000000532",178,155,301,108,238,207
"ENSMUSG00000000538",9161,9415,17213,9545,9724,10427
"ENSMUSG00000000544",0,0,0,0,0,0
"ENSMUSG00000000552",43,43,140,131,127,97
"ENSMUSG00000000555",3198,2849,4523,4556,3426,2846
"ENSMUSG00000000560",0,67,0,0,0,0
"ENSMUSG00000000561",507,732,840,681,948,630
"ENSMUSG00000000562",0,0,0,0,0,0
"ENSMUSG00000000563",2845,2608,3231,2667,3539,2513
"ENSMUSG00000000567",1701,2363,2949,1552,2836,2438
"ENSMUSG00000000568",4158,4893,7795,3646,4670,4196
"ENSMUSG00000000579",5,16,25,20,12,10
"ENSMUSG00000000581",3154,2646,3015,2495,3308,3088
"ENSMUSG00000000594",3467,3517,7130,2464,4734,4367
"ENSMUSG00000000600",1930,2322,4312,3811,2939,3439
"ENSMUSG00000000605",5234,4771,5488,4487,5759,4666
"ENSMUSG00000000606",0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,0
"ENSMUSG00000000627",0,0,0,0,0,0
"ENSMUSG00000000628",0,0,0,1,0,2
"ENSMUSG00000000631",2105,2895,3300,3487,2746,2633
"ENSMUSG00000000632",99,0,327,17,0,96
"ENSMUSG00000000673",0,0,0,0,0,19
"ENSMUSG00000000682",3,4,3,11,5,12
"ENSMUSG00000000686",0,0,0,86,0,0
"ENSMUSG00000000690",0,1,5,0,1,15
"ENSMUSG00000000693",332,63,217,94,73,125
"ENSMUSG00000000701",0,0,0,0,0,0
"ENSMUSG00000000706",0,79,0,0,19,0
"ENSMUSG00000000708",1468,822,1218,1065,1279,920
"ENSMUSG00000000711",2312,1892,3194,2295,2769,2268
"ENSMUSG00000000724",17,0,0,0,0,0
"ENSMUSG00000000730",0,0,0,0,0,9
"ENSMUSG00000000731",0,0,0,0,0,0
"ENSMUSG00000000732",681,630,421,1530,608,615
"ENSMUSG00000000738",3311,3147,4631,2406,3150,3498
"ENSMUSG00000000739",319,219,317,233,89,259
"ENSMUSG00000000740",457,315,698,443,487,676
"ENSMUSG00000000743",6030,5033,7904,4143,6394,4943
"ENSMUSG00000000751",3573,2894,4259,2911,4162,3018
"ENSMUSG00000000753",86,155,48,176,222,135
"ENSMUSG00000000759",2112,3322,3535,2306,3474,3677
"ENSMUSG00000000766",0,0,0,0,0,0
"ENSMUSG00000000776",1204,807,1164,731,934,699
"ENSMUSG00000000782",6849,7738,13441,10649,10743,12079
"ENSMUSG00000000787",13535,18390,28986,13007,17687,16726
"ENSMUSG00000000791",0,0,1,0,0,0
"ENSMUSG00000000792",328,122,179,93,492,259
"ENSMUSG00000000794",7,1,0,88,0,0
"ENSMUSG00000000804",95,417,764,525,981,850
"ENSMUSG00000000805",28974,26980,37371,44119,54799,41277
"ENSMUSG00000000811",910,1286,1590,889,1354,1578
"ENSMUSG00000000817",0,0,0,0,0,0
"ENSMUSG00000000823",1117,1536,2055,1015,763,1039
"ENSMUSG00000000826",4138,4380,8419,4060,5507,6163
"ENSMUSG00000000827",5335,3472,4798,4458,3968,3957
"ENSMUSG00000000838",3225,2937,4931,2947,3305,2976
"ENSMUSG00000000861",0,0,0,31,0,0
"ENSMUSG00000000869",1,11,36,3,4,24
"ENSMUSG00000000876",1836,1560,2240,1485,1935,1381
"ENSMUSG00000000881",435,608,382,0,90,257
"ENSMUSG00000000884",348,433,482,112,601,107
"ENSMUSG00000000889",0,0,0,0,0,0
"ENSMUSG00000000901",327,574,513,153,171,179
"ENSMUSG00000000902",5035,2378,4071,3535,3889,3305
"ENSMUSG00000000903",0,15,0,0,13,0
"ENSMUSG00000000915",7418,5997,8390,7784,5665,5942
"ENSMUSG00000000916",1392,880,1008,1295,1234,1380
"ENSMUSG00000000934",116,178,162,204,288,92
"ENSMUSG00000000938",0,51,1,0,0,2
"ENSMUSG00000000942",0,0,0,0,0,0
"ENSMUSG00000000948",0,0,0,0,0,5
"ENSMUSG00000000957",497,355,620,391,789,581
"ENSMUSG00000000958",455,403,843,580,869,544
"ENSMUSG00000000959",824,1091,685,934,1003,940
"ENSMUSG00000000976",1912,1066,1546,984,1216,1502
"ENSMUSG00000000982",16,20,21,48,4,10
"ENSMUSG00000000983",0,0,0,0,0,0
"ENSMUSG00000001014",26,40,62,23,0,97
"ENSMUSG00000001016",3858,2890,4999,2937,3856,3273
"ENSMUSG00000001017",8829,5778,10358,7024,7308,6563
"ENSMUSG00000001018",4650,5221,8337,3205,5336,4696
"ENSMUSG00000001020",1,7,1,1,3,1
"ENSMUSG00000001021",0,11,0,0,0,0
"ENSMUSG00000001023",0,0,0,0,0,0
"ENSMUSG00000001025",370,337,415,131,159,141
"ENSMUSG00000001027",0,0,25,0,0,0
"ENSMUSG00000001029",10781,8252,11512,12418,11812,8331
"ENSMUSG00000001034",1910,2104,2789,2746,2570,1889
"ENSMUSG00000001036",8317,10042,18114,9561,12212,12543
"ENSMUSG00000001039",127,167,245,144,103,139
"ENSMUSG00000001052",2982,4238,7772,4403,4605,5943
"ENSMUSG00000001053",4949,5139,7590,8988,7322,6445
"ENSMUSG00000001054",2235,2318,2962,3118,2808,2833
"ENSMUSG00000001056",684,486,512,429,611,527
"ENSMUSG00000001062",643,984,1410,1368,1145,1024
"ENSMUSG00000001065",735,1541,1547,1672,909,1242
"ENSMUSG00000001076",0,0,0,0,0,0
