"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol","entrezid"
"ENSMUSG00000000001",8857.82911040282,0.0549272724186059,0.101090463867175,0.543347713695092,0.586890418387016,0.998922454474621,"Gnai3","14679"
"ENSMUSG00000000028",146.72022853678,0.449461186235961,0.746272214594764,0.602275118175242,0.546991020530031,0.996155045649932,"Cdc45","12544"
"ENSMUSG00000000037",27.7661622736422,-2.86414283639136,3.46666349113404,-0.826195805770122,NA,NA,"Scml2","107815"
"ENSMUSG00000000049",1.40467541275058,-3.9895438521003,3.93876647396461,-1.01289169552735,0.311111895459246,NA,"Apoh","11818"
"ENSMUSG00000000056",2165.98225824452,0.111686242269364,0.238877686203355,0.467545730388089,0.640109482023646,0.998922454474621,"Narf","67608"
"ENSMUSG00000000058",42201.5505862058,0.0720990557052011,0.188215948542195,0.38306560237661,0.701671123237064,0.998922454474621,"Cav2","12390"
"ENSMUSG00000000078",43721.7272357415,0.319590118618342,0.174934235061584,1.82691580356374,0.0677124297270726,0.586120081790556,"Klf6","23849"
"ENSMUSG00000000085",3286.8125550339,-0.250984988143823,0.138661938548575,-1.81004961253949,0.0702880938100564,0.591440299043652,"Scmh1","29871"
"ENSMUSG00000000088",1480.87580039204,-0.111071338797773,0.186873019708651,-0.594367977629631,0.552266021457903,0.996724105548092,"Cox5a","12858"
"ENSMUSG00000000093",1248.63025235524,-0.465239825281772,0.262573211918295,-1.77184801862629,0.0764197891287762,0.609614890278635,"Tbx2","21385"
"ENSMUSG00000000094",922.265502013231,-0.192141329922893,0.342501024008324,-0.560994906450916,0.574801009509532,0.998723058505589,"Tbx4","21387"
"ENSMUSG00000000120",5.90405173098573,1.49573754853979,1.65374185381713,0.904456487623725,0.365753396997033,NA,"Ngfr","18053"
"ENSMUSG00000000126",81.5102480555803,0.185131998066793,1.48973536850981,0.124271734416818,0.901100126460051,0.998922454474621,"Wnt9a","216795"
"ENSMUSG00000000127",1626.62632532259,-0.0928131011646282,0.190827367801915,-0.486372066196349,0.626703392120332,0.998922454474621,"Fer","14158"
"ENSMUSG00000000131",3428.86519981379,-0.129305290583856,0.187013910394487,-0.691420709353117,0.489301193424762,0.981481852732018,"Xpo6","74204"
"ENSMUSG00000000134",3309.66296088148,0.0895025391966495,0.258376998068321,0.346402891378833,0.729039952465983,0.998922454474621,"Tfe3","209446"
"ENSMUSG00000000142",1029.82240856538,-0.0744312765892968,0.299307901311169,-0.248677954251251,0.803609903189977,0.998922454474621,"Axin2","12006"
"ENSMUSG00000000148",1409.01132182094,-0.44909483141384,0.210818467120837,-2.13024426914378,0.033151451981676,0.428096844030702,"Brat1","231841"
"ENSMUSG00000000149",6540.67687703609,-0.128987969561512,0.132512954519853,-0.973398940721576,0.330355065178815,0.93414417376608,"Gna12","14673"
"ENSMUSG00000000154",194.474004545563,1.63197842424608,0.625971607079731,2.6071125363969,0.00913093452380673,0.210779138985397,"Slc22a18","18400"
"ENSMUSG00000000157",3.55696570232795,-0.871136137290373,3.78095943333371,-0.230400815626388,0.81778032742352,NA,"Itgb2l","16415"
"ENSMUSG00000000159",1500.83182457828,0.0848936481497773,0.333713821225786,0.254390566857402,0.799193837873277,0.998922454474621,"Igsf5","72058"
"ENSMUSG00000000167",54.0980533376909,-1.09943842320432,0.813094646102824,-1.35216537026033,0.176322419066689,0.790949320955216,"Pih1d2","72614"
"ENSMUSG00000000168",3705.45770620632,-0.0389661354141459,0.183665707632311,-0.212157924941297,0.831983830538028,0.998922454474621,"Dlat","235339"
"ENSMUSG00000000171",4400.11216083314,-0.113593123277996,0.167839806137012,-0.676794890869138,0.498536100217696,0.985275988068339,"Sdhd","66925"
"ENSMUSG00000000184",4295.16232903993,-0.30469679709737,0.168125757459213,-1.81231479163024,0.0699375703091577,0.591440299043652,"Ccnd2","12444"
"ENSMUSG00000000194",2790.0979727195,-0.462707832841787,0.190866526823823,-2.42424819344506,0.0153401175226708,0.278238109595213,"Gpr107","277463"
"ENSMUSG00000000202",13.1958559244399,-1.13168688719677,3.74109727837841,-0.302501325944483,0.762269922816965,0.998922454474621,"Btbd17","72014"
"ENSMUSG00000000204",34.1929416212776,8.51706227967077,2.63281082052716,3.23496933895365,0.00121655794100152,0.061776164722309,"Slfn4","20558"
"ENSMUSG00000000214",14.3800764827541,-1.43753499765064,3.04573371030322,-0.471983152298475,0.63693881415512,0.998922454474621,"Th","21823"
"ENSMUSG00000000216",1.90373719853473,0.922039287679215,3.83160701494399,0.240640359014661,0.809833867195948,NA,"Scnn1g","20278"
"ENSMUSG00000000244",11.9788700446991,7.00398802378234,3.2356277029596,2.16464583282429,0.0304148182147105,0.407553356060304,"Tspan32","27027"
"ENSMUSG00000000247",16.5821730692107,-0.139830612914322,2.96123289924414,-0.0472204036872661,0.962337565868702,0.999884473550494,"Lhx2","16870"
"ENSMUSG00000000253",756.844427343107,-0.330762489384436,0.404871434328469,-0.816956844419138,0.413953090784813,0.966961742262887,"Gmpr","66355"
"ENSMUSG00000000263",5.87322102025641,-4.15364670235388,2.0428992998535,-2.03321167257326,0.0420311422819541,NA,"Glra1","14654"
"ENSMUSG00000000266",1150.89249680636,-0.200986738880715,0.361038868435868,-0.556690031052478,0.577739229221852,0.998723058505589,"Mid2","23947"
"ENSMUSG00000000275",5430.31245192164,0.112389192167482,0.186274581065882,0.603352274499179,0.5462743643108,0.995776854860044,"Trim25","217069"
"ENSMUSG00000000276",2980.20053923234,-0.158673873175552,0.182905265206221,-0.867519439621665,0.385657465235631,0.957596766909776,"Dgke","56077"
"ENSMUSG00000000278",1893.24740004675,0.274843114209432,0.267660170449518,1.02683605763177,0.304497667465447,0.924300425427019,"Scpep1","74617"
"ENSMUSG00000000282",483.422579643633,0.000691228411211629,0.334477869301334,0.00206658937601906,0.998351101417039,0.999884473550494,"Mnt","17428"
"ENSMUSG00000000290",113.575252759855,0.785851876403552,1.99891191840521,0.393139822304189,0.69421621323346,0.998922454474621,"Itgb2","16414"
"ENSMUSG00000000295",539.642994883717,-0.385429158463965,0.537766173670207,-0.716722578204288,0.473545291558495,0.980221832258439,"Hddc2","69692"
"ENSMUSG00000000296",1990.86697760263,-0.542341139351194,0.327983370312778,-1.65356291946752,0.0982163520455484,0.648820388458691,"Tpd52l1","21987"
"ENSMUSG00000000301",34.660672243707,0.531982736155944,1.06977493449858,0.497284726908744,0.618988280541464,0.998922454474621,"Pemt","18618"
"ENSMUSG00000000303",15.3018484174263,3.85935869022748,2.86866419325065,1.34535045939072,0.178512085596196,0.794432987874553,"Cdh1","12550"
"ENSMUSG00000000305",104.100663222316,-2.40334521561692,1.68147308618162,-1.42930935699634,0.152915337800963,0.756166705934745,"Cdh4","12561"
"ENSMUSG00000000308",9.35215526077344,-3.8066429324725,2.69402697767181,-1.4129936203394,0.157657599916277,0.765115998849505,"Ckmt1","12716"
"ENSMUSG00000000317",3430.538003496,0.199066460386044,0.121619698142721,1.63679456063474,0.101673402672377,0.654852026841719,"Bcl6b","12029"
"ENSMUSG00000000318",2.35103374791824,-4.73471113112608,3.92588843481126,-1.20602284291701,0.227808682803967,NA,"Clec10a","17312"
"ENSMUSG00000000320",3779.08745821486,0.120982778497667,0.459836142762596,0.263099759342162,0.792473689429751,0.998922454474621,"Alox12","11684"
"ENSMUSG00000000325",887.554741762067,0.169055871117,0.418439018385418,0.404015552300347,0.686201282721224,0.998922454474621,"Arvcf","11877"
"ENSMUSG00000000326",3051.40412914257,-0.121431387279351,0.223126140317229,-0.544227525769534,0.586284912388386,0.998922454474621,"Comt","12846"
"ENSMUSG00000000339",1557.93871777636,-0.097072935495572,0.271986723792036,-0.35690321256193,0.721164264572031,0.998922454474621,"Rtca","66368"
"ENSMUSG00000000340",289.267406361256,-0.118472914041622,0.625138298689677,-0.189514727045115,0.849689413729378,0.998922454474621,"Dbt","13171"
"ENSMUSG00000000346",29423.4902730932,0.0738942989996606,0.127621025119184,0.579013520151959,0.562580050476972,0.998179386692562,"Dazap2","23994"
"ENSMUSG00000000355",907.405172233259,-0.0944119500535163,0.263844514781739,-0.357831771229419,0.720469212742314,0.998922454474621,"Mcts1","68995"
"ENSMUSG00000000359",131.053007816235,0.0549953925828196,0.464302957380947,0.118447215785657,0.905713316273075,0.998945866130134,"Rem1","19700"
"ENSMUSG00000000374",1550.13960385592,0.834552277165669,0.227617632569334,3.6664658521631,0.000245925741586005,0.0203403806684763,"Trappc10","216131"
"ENSMUSG00000000378",4041.90271827354,-0.320587410455773,0.179070688988357,-1.79028411777998,0.0734082481742641,0.600063757754681,"Ccm2","216527"
"ENSMUSG00000000384",226.592439838115,-0.650155631055106,0.457053613105604,-1.42249314393864,0.154883140436804,0.760852489320908,"Tbrg4","21379"
"ENSMUSG00000000385",24.1702805492072,3.57193687961736,1.83284614555023,1.94884709133349,0.05131368810053,0.525940099843743,"Tmprss2","50528"
"ENSMUSG00000000386",17.9234297227742,7.58403482803688,3.17308159222285,2.39011654998888,0.01684302684668,0.291972996767782,"Mx1","17857"
"ENSMUSG00000000392",42.8091646568718,-0.819497896152987,2.71186308766057,-0.302189996199232,0.762507229854311,0.998922454474621,"Fap","14089"
"ENSMUSG00000000399",2999.10506021599,-0.236322210273349,0.143463088524401,-1.6472683859246,0.0995028929470151,0.65024194086895,"Ndufa9","66108"
"ENSMUSG00000000402",0.601012569232327,1.27438782503598,4.00365687700808,0.31830595482706,0.750252867744291,NA,"Egfl6","54156"
"ENSMUSG00000000409",31.2012758486903,-1.2172958072947,2.22930018806705,-0.546043917194561,0.585035749206437,0.998922454474621,"Lck","16818"
"ENSMUSG00000000411",2.77775149404143,3.83517774829224,3.92338713755389,0.977517031542125,0.328313250145229,NA,"Tssk3","58864"
"ENSMUSG00000000416",732.506650056085,0.13172261575032,0.362948733799472,0.362923475090827,0.716662050043769,0.998922454474621,"Cttnbp2","30785"
"ENSMUSG00000000420",5055.16947538271,-0.105098282422618,0.0954580790403499,-1.10098886840362,0.270901501940925,0.89347987309528,"Galnt1","14423"
"ENSMUSG00000000439",1393.70844841221,0.102303314365407,0.179175275619817,0.57096780798306,0.568021464782344,0.998723058505589,"Mkrn2","67027"
"ENSMUSG00000000440",216.868245255351,0.52395258304464,0.552689723357422,0.948004930979695,0.343126943926301,0.935949746711614,"Pparg","19016"
"ENSMUSG00000000441",7611.12407731091,-0.135993740392563,0.115572268490623,-1.17669871993209,0.239315778960812,0.870851257036889,"Raf1","110157"
"ENSMUSG00000000486",64.2126072766337,-0.461156106470079,0.632662023201783,-0.728913842712188,0.466054366627193,0.979164208284639,NA,NA
"ENSMUSG00000000489",9423.5551561653,-0.278014058463909,0.156718263762244,-1.77397357391403,0.0760675215463531,0.609591797092664,"Pdgfb","18591"
"ENSMUSG00000000530",50191.4226998663,0.165624231419666,0.146626731731143,1.12956368504044,0.258660120320074,0.886523658317448,"Acvrl1","11482"
"ENSMUSG00000000531",15213.9969881577,0.210166862927774,0.238107725450174,0.882654531810865,0.377422955488273,0.9538533860176,"Grasp","56149"
"ENSMUSG00000000532",190.632587864194,0.0766121378411076,0.446147032955207,0.171719483000124,0.863658068116896,0.998922454474621,"Acvr1b","11479"
"ENSMUSG00000000538",10542.229556652,0.135750707653588,0.147683596884006,0.919199630275867,0.357991164499176,0.942039483553036,"Tom1l2","216810"
"ENSMUSG00000000552",93.2296644692941,-0.856660758435272,0.600584731014152,-1.42637785177906,0.153759303317128,0.758187415317065,"Zfp385a","29813"
"ENSMUSG00000000555",3499.37060898791,-0.149667450848619,0.221207679786648,-0.67659247180284,0.49866455688285,0.985275988068339,"Itga5","16402"
"ENSMUSG00000000560",12.5063948592089,7.06481380596934,3.91021899567768,1.806756556034,0.0708002451960247,0.591930896134072,"Gabra2","14395"
"ENSMUSG00000000561",711.733094125076,-0.204769257220648,0.289522938306906,-0.707264365366397,0.47940220591751,0.980221832258439,"Wdr77","70465"
"ENSMUSG00000000563",2861.76739507953,-0.0819960313069364,0.188751690347263,-0.434412169533853,0.663989162146743,0.998922454474621,"Atp5f1","11950"
"ENSMUSG00000000567",2256.13075830727,-0.0500387155430756,0.266172116208068,-0.187993829917031,0.850881487961746,0.998922454474621,"Sox9","20682"
"ENSMUSG00000000568",4729.87770780091,0.310393738332192,0.165839654579283,1.87164969150248,0.0612550838694619,0.563280445147443,"Hnrnpd","11991"
"ENSMUSG00000000579",14.1526435892674,-0.0307323438476551,1.16100268594424,-0.0264705191639248,0.97888204765545,0.999884473550494,"Dynlt1c","100040563"
"ENSMUSG00000000581",2924.52070134561,-0.074520006015068,0.201455398057658,-0.369908211611882,0.711450882779623,0.998922454474621,"C1d","57316"
"ENSMUSG00000000594",4100.22947253597,0.150608369508801,0.272514133158197,0.552662600516839,0.580494467312635,0.998723058505589,"Gm2a","14667"
"ENSMUSG00000000600",3040.8169966536,-0.398441272209013,0.231831789529278,-1.71866538673591,0.0856753181051584,0.630420500077026,"Krit1","79264"
"ENSMUSG00000000605",5012.84517847925,-0.0124606210083464,0.173801842004785,-0.0716944128129741,0.942845102651231,0.999245457779261,"Clcn4","12727"
"ENSMUSG00000000628",0.511446390582142,-2.53286233116175,3.99398489564889,-0.634169231316094,0.525970385302246,NA,"Hk2","15277"
"ENSMUSG00000000631",2827.9862068757,-0.186695520131986,0.226861992598233,-0.822947546187776,0.410537822952898,0.966284733728674,"Myo18a","360013"
"ENSMUSG00000000632",77.3866644968911,1.60950118208559,2.05715436498464,0.782392031187028,0.433984215563817,0.97074274085884,"Sez6","20370"
"ENSMUSG00000000673",3.19068865788904,-5.17521342648685,3.92086562604514,-1.31991603897605,0.186863051950284,NA,"Haao","107766"
