,OH1,OH3,OH4,YH1,YH3,YH4_1,YH4_L2
ENSMUSG00000000001,8291,8553,8483,11679,7777,8609,8880
ENSMUSG00000000003,0,0,0,0,0,0,0
ENSMUSG00000000028,170,31,205,67,321,248,249
ENSMUSG00000000031,758,480,712,368,496,139,166
ENSMUSG00000000037,0,0,0,0,0,0,0
ENSMUSG00000000049,0,0,0,0,0,0,1
ENSMUSG00000000056,2282,2265,2208,2516,2120,1807,1704
ENSMUSG00000000058,54353,81294,72357,64111,69612,83865,86583
ENSMUSG00000000078,37022,44451,36016,58827,36804,32951,33884
ENSMUSG00000000085,1990,2118,2350,778,2165,2268,2358
ENSMUSG00000000088,1611,1605,1361,912,1529,1645,1756
ENSMUSG00000000093,2571,1920,2691,2187,3127,6445,6748
ENSMUSG00000000094,0,2,0,0,0,65,57
ENSMUSG00000000103,0,0,0,0,0,0,0
ENSMUSG00000000120,0,2,7,18,6,0,0
ENSMUSG00000000125,0,0,0,0,0,0,0
ENSMUSG00000000126,113,229,107,231,143,117,143
ENSMUSG00000000127,786,2009,1084,1372,1368,1362,1379
ENSMUSG00000000131,2514,3493,3624,2433,2324,3154,3306
ENSMUSG00000000134,2500,4522,3853,3500,4349,4190,4178
ENSMUSG00000000142,19,78,53,54,10,11,7
ENSMUSG00000000148,1186,1277,2113,2163,1191,1890,1898
ENSMUSG00000000149,9983,11287,9516,10950,10112,11359,11424
ENSMUSG00000000154,339,187,150,230,3,97,109
ENSMUSG00000000157,0,0,0,0,0,0,0
ENSMUSG00000000159,0,0,1,1,96,1,1
ENSMUSG00000000167,158,56,16,24,32,77,98
ENSMUSG00000000168,2474,3720,3879,3776,2830,4252,4365
ENSMUSG00000000171,4327,4796,4496,4250,4975,6226,6477
ENSMUSG00000000182,0,0,0,55,0,0,0
ENSMUSG00000000183,0,0,0,0,0,0,0
ENSMUSG00000000184,7981,10472,8861,7895,11374,11635,11758
ENSMUSG00000000194,2624,3583,3802,2707,1850,3463,3439
ENSMUSG00000000197,40,0,0,0,0,0,0
ENSMUSG00000000202,0,0,1,0,0,0,0
ENSMUSG00000000204,125,0,0,0,0,72,81
ENSMUSG00000000214,2,0,0,0,0,0,0
ENSMUSG00000000215,0,0,0,0,0,0,0
ENSMUSG00000000216,2,0,18,2,0,2,2
ENSMUSG00000000223,0,0,0,0,0,0,0
ENSMUSG00000000244,0,23,85,32,1,0,0
ENSMUSG00000000247,0,0,0,0,0,1,1
ENSMUSG00000000248,0,0,0,0,0,0,0
ENSMUSG00000000253,1355,1411,1434,803,1048,1480,1455
ENSMUSG00000000263,0,0,0,6,1,0,0
ENSMUSG00000000266,1357,2259,2210,962,1090,1600,1636
ENSMUSG00000000275,8840,9162,8366,8186,9194,7440,7707
ENSMUSG00000000276,2737,6219,4432,1622,3693,4332,4526
ENSMUSG00000000278,2093,1775,2021,1113,1623,1781,1750
ENSMUSG00000000282,780,706,696,414,480,1040,1025
ENSMUSG00000000290,117,247,38,91,85,23,37
ENSMUSG00000000295,268,460,422,92,367,613,590
ENSMUSG00000000296,25,82,22,0,2,16,12
ENSMUSG00000000301,68,91,16,68,31,65,62
ENSMUSG00000000303,8,0,12,4,0,49,59
ENSMUSG00000000305,32,0,296,140,0,339,378
ENSMUSG00000000308,0,0,75,0,0,0,3
ENSMUSG00000000317,7116,14713,12424,9379,13155,13817,14315
ENSMUSG00000000318,0,21,22,0,0,0,0
ENSMUSG00000000320,1910,3996,7168,2189,5161,5096,5211
ENSMUSG00000000325,410,995,1087,235,961,2090,2173
ENSMUSG00000000326,3618,4057,2857,3555,4295,4208,4222
ENSMUSG00000000339,1190,1653,1497,1049,931,1681,1791
ENSMUSG00000000340,271,521,612,405,361,168,192
ENSMUSG00000000346,24890,36345,28364,22931,31177,29951,30960
ENSMUSG00000000355,772,866,569,650,575,983,952
ENSMUSG00000000359,49,58,111,37,149,225,241
ENSMUSG00000000365,0,0,0,0,0,0,0
ENSMUSG00000000374,1660,1257,1241,326,631,1294,1311
ENSMUSG00000000378,4068,2677,2799,3426,3459,3242,3361
ENSMUSG00000000381,0,0,0,0,0,5,6
ENSMUSG00000000384,416,324,254,219,191,356,331
ENSMUSG00000000385,4,0,220,38,0,30,27
ENSMUSG00000000386,0,0,0,0,0,31,36
ENSMUSG00000000392,10,0,114,0,125,161,182
ENSMUSG00000000394,0,0,0,0,0,0,0
ENSMUSG00000000399,2562,2917,2747,2396,3582,3364,3480
ENSMUSG00000000402,0,0,44,0,0,46,65
ENSMUSG00000000409,44,64,63,63,15,32,17
ENSMUSG00000000411,0,0,7,0,0,0,0
ENSMUSG00000000416,318,606,391,174,440,287,314
ENSMUSG00000000420,6896,8895,8654,7907,7991,9348,9750
ENSMUSG00000000435,0,0,0,0,0,0,0
ENSMUSG00000000439,1698,2165,1361,1235,1058,1961,2004
ENSMUSG00000000440,12573,12074,8848,9149,7823,9118,9349
ENSMUSG00000000441,6554,8103,8057,7080,7612,7902,8083
ENSMUSG00000000486,193,390,225,306,610,621,698
ENSMUSG00000000489,11537,10280,9475,8198,7636,11145,11038
ENSMUSG00000000530,19900,19247,17314,17963,14404,16350,16694
ENSMUSG00000000531,7974,11714,7619,6330,9484,8638,8772
ENSMUSG00000000532,240,488,327,251,299,417,416
ENSMUSG00000000538,6234,6911,6910,8052,5592,7890,8064
ENSMUSG00000000544,0,0,0,0,0,0,0
ENSMUSG00000000552,49,195,10,243,49,50,64
ENSMUSG00000000555,5587,8009,5813,9397,7542,7920,7808
ENSMUSG00000000560,0,0,0,0,0,0,0
ENSMUSG00000000561,1029,1166,1098,584,999,615,674
ENSMUSG00000000562,0,45,0,0,6,0,0
ENSMUSG00000000563,3062,2960,2788,2293,2618,3818,4059
ENSMUSG00000000567,0,0,78,1,108,73,104
