"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol","entrezid"
"ENSMUSG00000000001",8852.4379719432,-0.223713636587985,0.241389573920753,-0.926774230362699,0.354043767347651,0.952167977534617,"Gnai3","14679"
"ENSMUSG00000000028",171.271298949048,-0.625084082970546,0.884371633818529,-0.7068115473939,0.479683597582716,0.995897440293776,"Cdc45","12544"
"ENSMUSG00000000031",492.013718835494,0.875197388889588,0.574023679714652,1.52467122841456,0.127341121508883,0.700344758728332,"H19","14955"
"ENSMUSG00000000056",2186.55086855309,-0.00770691913564616,0.255298696164441,-0.0301878515301231,0.975917237191748,0.99925033818109,"Narf","67608"
"ENSMUSG00000000058",69389.6131556599,-0.123374949343452,0.133778264604868,-0.922234637352016,0.356406199499782,0.954006068121736,"Cav2","12390"
"ENSMUSG00000000078",40939.3533979243,-0.227413460204437,0.29188514418154,-0.779119680249966,0.43590921810461,0.981138108991634,"Klf6","23849"
"ENSMUSG00000000085",1889.59541245847,0.293258407845541,0.367114823308939,0.798819304549722,0.42439519517984,0.978919871261086,"Scmh1","29871"
"ENSMUSG00000000088",1411.94661677631,0.133019563757987,0.25025518657196,0.531535691947537,0.595047614742999,0.99925033818109,"Cox5a","12858"
"ENSMUSG00000000093",3059.08050503414,-0.695905336221957,0.358993217578489,-1.93849159857681,0.0525632748271957,0.566568672253263,"Tbx2","21385"
"ENSMUSG00000000094",9.88375043055294,-5.00191944306536,3.87722069095409,-1.29007860056439,0.197023369013841,0.813060624745825,"Tbx4","21387"
"ENSMUSG00000000120",5.79807041621629,-1.60946228320971,2.79910229649823,-0.574992305648565,0.565296500772084,0.99925033818109,"Ngfr","18053"
"ENSMUSG00000000126",155.514758187468,-0.253312452222178,0.589603665022381,-0.42963174628937,0.667463540160969,0.99925033818109,"Wnt9a","216795"
"ENSMUSG00000000127",1299.27837322014,-0.177219961758558,0.340684585298086,-0.520187790719962,0.602932694165399,0.99925033818109,"Fer","14158"
"ENSMUSG00000000131",2855.89475437484,0.229945458903331,0.179396209912538,1.28177434191858,0.199921817397667,0.815914496333051,"Xpo6","74204"
"ENSMUSG00000000134",3739.84830496753,-0.218700670783919,0.216577894000594,-1.00980144715656,0.312590426684046,0.926231440314065,"Tfe3","209446"
