"","gene_names","YH_0","YH_1","YH_2","OH_0","OH_1","OH_2","Avg_Expr","Fold_Change","p_value","q_value"
"ENSMUSG00000000001","Gnai3",6.63151322087813,5.92795332626252,5.87982582252493,6.04844327914925,5.8677630579409,6.00011721421031,5.97210785043349,0.174322939455041,0.508818477137005,0.807837994745233
"ENSMUSG00000000028","Cdc45",0.875514299668371,2.37319159882932,1.91867245506843,1.69984032031748,0.540573881627061,1.80721064533956,1.34920828242803,0.373251168760677,0.470965790092194,0.80043532737996
"ENSMUSG00000000031","H19",3.1178678897854,3.52342395253979,1.69846742722878,4.34641090146729,3.27093254152859,3.93020746372902,3.84918363557497,-1.06926387905697,0.0775238722525541,0.649600081123396
"ENSMUSG00000000056","Narf",4.90102133105684,4.57992230781223,3.9725731902332,4.75697522701243,4.26319219197512,4.68074630031499,4.56697123976751,-0.0824656300667527,0.783990677147415,0.846624548060873
"ENSMUSG00000000058","Cav2",9.41923970351891,9.37734286175915,9.45002349122488,9.02990282956979,9.40127633623426,9.36535134734463,9.26551017104957,0.150025181118089,0.446350060411194,0.796152950779945
"ENSMUSG00000000078","Klf6",8.55749433580563,7.76036068414472,7.40134034213078,7.79059612049821,7.83083841051644,7.67649309384177,7.76597587495214,0.140422579074902,0.664722012278933,0.834503096345385
"ENSMUSG00000000085","Scmh1",4.30597052098439,4.84338594611222,5.01123172888931,4.55741009016888,5.26203845227946,5.20337737051884,5.00760863765573,-0.287412572327085,0.352004725920463,0.770397058631103
"ENSMUSG00000000088","Cox5a",6.82527683005487,7.4339442447531,7.31816316262579,7.48058827023386,7.24957807505961,7.23326495065196,7.32114376531514,-0.128682352837225,0.584490934090047,0.820326146051143
"ENSMUSG00000000093","Tbx2",4.10943578487848,4.48712614513836,5.29278174922785,4.23703591844476,3.63230311898957,4.22208581606229,4.03047495116554,0.599306275249353,0.13031814913225,0.710283129319471
"ENSMUSG00000000126","Wnt9a",1.53183307034783,1.03431433369852,0.821143636831629,0.876260357318206,1.29816560386328,0.811642006477048,0.995355989219511,0.13374102440648,0.618822284416832,0.824942035998582
"ENSMUSG00000000127","Fer",3.74606548751541,3.63598650374562,3.4537151049499,2.94258206411052,3.95679082709533,3.30657722973103,3.40198337364563,0.209938991758016,0.488495669042177,0.804868400297387
"ENSMUSG00000000131","Xpo6",5.00562904006639,4.92086492870989,4.65001200200252,4.7780298057328,4.99863330098443,5.18188174555478,4.98618161742401,-0.127346293831071,0.548895483551541,0.812401980375068
"ENSMUSG00000000134","Tfe3",5.27510391943102,5.40942827599672,5.48872707879603,4.91822401755108,5.65393419971205,5.35819227836647,5.31011683187654,0.080969592864722,0.740811383776737,0.843019720105879
"ENSMUSG00000000148","Brat1",4.22141311740013,3.31544305402973,3.76996211166456,3.28591705814176,3.24218327847752,4.01180868973217,3.51330300878381,0.255636418914331,0.452905932732617,0.796406354368274
