"","OK1","OK1_2","OK3","OK4","YK1","YK3","YK4"
"ENSMUSG00000000001",10204,9534,9629,10268,9471,8953,8643
"ENSMUSG00000000003",0,0,0,0,0,0,0
"ENSMUSG00000000028",60,49,27,149,116,123,0
"ENSMUSG00000000031",0,0,0,1,0,1,1
"ENSMUSG00000000037",0,0,0,0,0,0,0
"ENSMUSG00000000049",0,0,0,0,5,0,0
"ENSMUSG00000000056",1259,1169,2251,2578,2061,2752,2728
"ENSMUSG00000000058",24301,22827,22882,23791,26905,30020,27377
"ENSMUSG00000000078",22106,20802,22094,34160,21332,23565,21942
"ENSMUSG00000000085",2499,2395,2723,2953,2942,2846,2001
"ENSMUSG00000000088",1862,1705,1865,2822,3452,3142,3041
"ENSMUSG00000000093",3821,3631,3670,3919,4835,5370,6266
"ENSMUSG00000000094",29,17,91,0,0,0,0
"ENSMUSG00000000103",0,0,0,0,0,0,0
"ENSMUSG00000000120",0,0,1,1,3,5,6
"ENSMUSG00000000125",0,0,0,0,0,0,0
"ENSMUSG00000000126",130,146,219,56,67,42,5
"ENSMUSG00000000127",1228,1203,1230,1187,1361,864,1103
"ENSMUSG00000000131",4134,3876,2721,3229,4151,3180,3066
"ENSMUSG00000000134",4083,3769,4060,3506,3044,2382,3466
"ENSMUSG00000000142",69,44,93,103,68,65,97
"ENSMUSG00000000148",1681,1530,1813,1285,2105,1513,1575
"ENSMUSG00000000149",7320,6999,7659,5706,5395,6434,5022
"ENSMUSG00000000154",847,828,175,880,300,225,130
"ENSMUSG00000000157",1,0,0,27,0,7,39
"ENSMUSG00000000159",1029,942,702,1594,1157,1492,1983
"ENSMUSG00000000167",67,74,25,163,95,67,120
"ENSMUSG00000000168",6915,6356,5204,6826,9857,7071,9445
"ENSMUSG00000000171",6515,6081,6768,9607,10584,9967,9800
"ENSMUSG00000000182",0,0,0,0,0,0,0
"ENSMUSG00000000183",0,0,0,0,0,0,0
"ENSMUSG00000000184",8236,7786,6248,7864,8336,8705,9758
"ENSMUSG00000000194",4086,3820,3420,3372,4898,2773,3401
"ENSMUSG00000000197",0,0,0,0,0,0,0
"ENSMUSG00000000202",0,0,0,39,0,0,23
"ENSMUSG00000000204",0,0,77,0,102,7,332
"ENSMUSG00000000214",0,0,0,0,0,0,0
"ENSMUSG00000000215",0,0,0,0,0,0,0
"ENSMUSG00000000216",3375,3123,3978,4567,5644,10153,8389
"ENSMUSG00000000223",0,0,0,0,0,0,0
"ENSMUSG00000000244",14,12,40,51,0,9,21
"ENSMUSG00000000247",0,0,0,65,0,13,0
"ENSMUSG00000000248",0,0,0,0,0,0,0
"ENSMUSG00000000253",950,816,1268,1466,1451,1637,2811
"ENSMUSG00000000263",0,0,0,0,0,0,0
"ENSMUSG00000000266",2532,2353,2062,1349,2779,1768,1610
"ENSMUSG00000000275",5381,5137,5041,7197,4905,3525,4905
"ENSMUSG00000000276",1695,1614,1210,1591,1886,1193,946
"ENSMUSG00000000278",4575,4255,4180,5396,3330,2797,2894
"ENSMUSG00000000282",574,585,522,901,255,689,699
"ENSMUSG00000000290",240,233,634,476,45,104,0
"ENSMUSG00000000295",303,290,695,570,318,467,543
"ENSMUSG00000000296",366,321,726,1092,1106,1748,1046
"ENSMUSG00000000301",42,15,19,54,35,57,58
"ENSMUSG00000000303",9937,9094,6024,9532,14460,13398,11699
"ENSMUSG00000000305",292,236,419,628,247,87,492
"ENSMUSG00000000308",2431,2344,2213,5006,4998,3798,4466
"ENSMUSG00000000317",6708,6296,5781,4691,5407,4137,5659
"ENSMUSG00000000318",1,0,0,0,0,0,0
"ENSMUSG00000000320",3392,3186,6142,5419,3417,5577,4517
"ENSMUSG00000000325",547,491,357,772,860,662,996
"ENSMUSG00000000326",3416,3115,3805,4551,5183,4485,3671
"ENSMUSG00000000339",1217,1126,1528,1201,1203,1071,1245
"ENSMUSG00000000340",1092,989,1115,1749,2250,1581,1674
"ENSMUSG00000000346",26693,25070,32126,37294,23241,28882,28961
"ENSMUSG00000000355",647,575,952,1096,1334,970,1023
"ENSMUSG00000000359",192,185,224,114,250,352,318
"ENSMUSG00000000365",0,0,0,0,213,0,0
"ENSMUSG00000000374",2105,1971,1400,1707,2081,1560,1544
