"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol","entrezid"
"ENSMUSG00000000001",9434.38696845216,0.155234317301619,0.116764414081513,1.32946598946875,0.183694279274071,0.672508363996994,"Gnai3","14679"
"ENSMUSG00000000028",77.9678189805517,-0.0131925099843902,0.189847562154428,-0.0694900152242089,0.944599580138873,0.992578337065054,"Cdc45","12544"
"ENSMUSG00000000031",0.481646643162305,-0.0178920719434695,0.0766409964931148,-0.233453018125578,0.815409647756007,NA,"H19","14955"
"ENSMUSG00000000049",0.81996127487445,-0.0587807720885797,0.0790155647551701,-0.743913838630554,0.456928602708431,NA,"Apoh","11818"
"ENSMUSG00000000056",2241.68977524606,-0.243638344244865,0.229378767951206,-1.06216606890439,0.288160300726311,0.783324018954368,"Narf","67608"
"ENSMUSG00000000058",25638.2691239825,-0.227118493434617,0.126043649263394,-1.80190350534843,0.0715605886349728,0.455070286572986,"Cav2","12390"
"ENSMUSG00000000078",23830.3836759834,0.201848341311594,0.160725651900163,1.25585641697676,0.209168032549973,0.702865388327208,"Klf6","23849"
"ENSMUSG00000000085",2638.95017006197,0.0601400851325771,0.193400490831239,0.310961388329956,0.755829975040905,0.96457638637411,"Scmh1","29871"
"ENSMUSG00000000088",2657.37257563733,-0.504730247005798,0.17119704337414,-2.94824161129198,0.00319587179707774,0.0845726769392604,"Cox5a","12858"
"ENSMUSG00000000093",4588.28314719155,-0.485819112545207,0.132023070898544,-3.67980466776557,0.000233412674505146,0.016242576160346,"Tbx2","21385"
"ENSMUSG00000000094",20.9001119523438,0.143952983177574,0.120049309986376,1.19911545675615,0.230483054710386,NA,"Tbx4","21387"
"ENSMUSG00000000120",2.62171179427181,-0.126157999662901,0.130499295394765,-0.966733186422722,0.333677432491022,NA,"Ngfr","18053"
"ENSMUSG00000000126",88.0604468621862,0.422463468485006,0.241532186977849,1.74909801368938,0.0802740785306824,0.479270685438289,"Wnt9a","216795"
"ENSMUSG00000000127",1149.50227127351,0.129070595947699,0.196761724354879,0.65597410457182,0.511840785968035,0.903044635920219,"Fer","14158"
"ENSMUSG00000000131",3378.83929218723,-0.0297102604754347,0.19654544063186,-0.151162298041212,0.879847690291579,0.98240559222038,"Xpo6","74204"
