"","V1","V2","cl_kmeans","cl_hierarchical","CellNames"
"Cell_1",-2.89051404789988,12.1754602684624,"3","1","Cell_1"
"Cell_2",-11.7964295822281,28.2006652959597,"5","2","Cell_2"
"Cell_3",-2.96520153930591,-36.5068026651683,"2","3","Cell_3"
"Cell_4",-5.7641243900438,-15.0989086249213,"1","4","Cell_4"
"Cell_5",21.3761112649207,-14.4144556081115,"8","5","Cell_5"
"Cell_6",25.3489683670191,-13.0099274599209,"8","5","Cell_6"
"Cell_7",19.0892929990473,-14.8921078712133,"8","6","Cell_7"
"Cell_8",5.01503728626063,7.28734636750828,"3","1","Cell_8"
"Cell_9",-13.3743456425335,-4.71415887085686,"1","4","Cell_9"
"Cell_10",-10.4877187930336,-17.1007566876718,"1","4","Cell_10"
"Cell_11",18.6867282674697,-5.77071478331189,"8","6","Cell_11"
"Cell_12",-6.17590950827125,21.644186441098,"5","2","Cell_12"
"Cell_13",-19.5326937604585,-5.07945222469547,"1","4","Cell_13"
"Cell_14",8.65568091134581,9.53571335350209,"6","1","Cell_14"
"Cell_15",-26.381431584655,-6.2185589178796,"1","4","Cell_15"
"Cell_16",-10.4081415173591,-27.9842003467787,"2","4","Cell_16"
"Cell_17",-6.29739206971887,-29.3085377735971,"2","4","Cell_17"
"Cell_18",-6.89668290156166,4.74648244151034,"3","4","Cell_18"
"Cell_19",-3.57693416269716,12.2705983209913,"3","1","Cell_19"
"Cell_20",8.2470846990057,27.3467581642416,"6","2","Cell_20"
"Cell_21",-17.3833757985488,-29.2932169403855,"2","3","Cell_21"
"Cell_22",-16.6316254702708,21.3882815232102,"7","7","Cell_22"
"Cell_23",-21.4126166166221,-1.72191535003489,"1","4","Cell_23"
"Cell_24",-2.38716697496981,-29.6333950081023,"2","4","Cell_24"
"Cell_25",26.7754750658055,-14.3370920111048,"8","5","Cell_25"
"Cell_26",-18.1977534808253,-35.7909085191426,"2","3","Cell_26"
"Cell_27",-31.1603807581981,16.078717641528,"7","7","Cell_27"
"Cell_28",10.6522326178751,-5.70937156725814,"4","6","Cell_28"
"Cell_29",-15.2798019316157,-22.3313231159748,"1","4","Cell_29"
"Cell_30",12.8561936855544,-16.0777133523747,"4","6","Cell_30"
"Cell_31",-4.61074200196768,-22.724603390099,"2","4","Cell_31"
"Cell_32",-4.75282231083384,2.06376005455388,"3","4","Cell_32"
"Cell_33",-3.17620862131705,-6.91184034697617,"3","4","Cell_33"
"Cell_34",-7.55094931943967,34.5871939942929,"5","2","Cell_34"
"Cell_35",2.27076106296294,-38.4144774617804,"2","3","Cell_35"
"Cell_36",-19.2949244661931,-36.2320899987686,"2","3","Cell_36"
"Cell_37",-8.4778138089446,4.30315529351092,"3","4","Cell_37"
"Cell_38",19.4136765020232,-27.2558640883804,"4","6","Cell_38"
"Cell_39",-12.5234128036825,-39.9166360207575,"2","3","Cell_39"
"Cell_40",3.27410198590672,-37.9829728949236,"2","3","Cell_40"
"Cell_41",-23.5627447468857,-15.0892876032513,"1","4","Cell_41"
"Cell_42",-18.3474419121601,-36.2532366859836,"2","3","Cell_42"
"Cell_43",-0.842909946135014,-37.7734964300145,"2","3","Cell_43"
"Cell_44",6.05434572562236,-0.752728563783993,"3","1","Cell_44"
"Cell_45",1.79511635958127,6.76893109226871,"3","1","Cell_45"
"Cell_46",-8.77156315445759,36.5988513908044,"5","2","Cell_46"
"Cell_47",9.75587946833714,-11.5515742874354,"4","6","Cell_47"
"Cell_48",10.1977848792934,-16.8646738082073,"4","6","Cell_48"
"Cell_49",14.934425520265,-6.89525557896651,"4","6","Cell_49"
"Cell_50",-8.89662103445514,-12.5453183240471,"1","4","Cell_50"
"Cell_51",17.922203692374,-0.60472309525274,"8","8","Cell_51"
"Cell_52",-19.7039482579011,-8.86384159000203,"1","4","Cell_52"
"Cell_53",-16.9661826404854,-12.1671677515439,"1","4","Cell_53"
"Cell_54",2.30532968428033,-13.8286133398101,"4","4","Cell_54"
"Cell_55",-17.9322050207884,-6.03413214637176,"1","4","Cell_55"
"Cell_56",-2.64178043066728,11.7206129263204,"3","1","Cell_56"
"Cell_57",-20.4368247835035,-11.9778227493512,"1","4","Cell_57"
"Cell_58",-26.5636239394768,2.38201458773061,"7","7","Cell_58"
"Cell_59",25.8342674947163,-10.244684248615,"8","5","Cell_59"
"Cell_60",12.3768255253444,-12.6807456698438,"4","6","Cell_60"
"Cell_61",14.8615589014896,8.24172301125457,"6","1","Cell_61"
"Cell_62",7.33155981676951,-18.2712738175669,"4","6","Cell_62"
"Cell_63",9.0155185714005,-14.2680640584989,"4","6","Cell_63"
"Cell_64",-18.542736965501,-13.4018306627649,"1","4","Cell_64"
"Cell_65",0.568336159504824,40.2314215356192,"5","2","Cell_65"
"Cell_66",-22.7316874937165,-0.342202559985763,"7","7","Cell_66"
"Cell_67",-24.023800694756,2.4979621137475,"7","7","Cell_67"
"Cell_68",6.91364378776192,-22.3156336727449,"4","6","Cell_68"
"Cell_69",-7.4434145340191,-24.8277218149296,"2","4","Cell_69"
"Cell_70",-1.52065741431702,-2.1703685668889,"3","4","Cell_70"
"Cell_71",5.14826706032744,-38.1867301102989,"2","3","Cell_71"
"Cell_72",25.3012676806947,-4.92480134137503,"8","8","Cell_72"
"Cell_73",-6.03873302657237,41.8549541901795,"5","2","Cell_73"
"Cell_74",-32.086025266179,15.0920707111746,"7","7","Cell_74"
"Cell_75",0.181299231654315,-8.77072599694098,"4","4","Cell_75"
"Cell_76",-3.48066590622117,-19.728523052301,"2","4","Cell_76"
"Cell_77",12.433954004852,-6.46942075560751,"4","6","Cell_77"
"Cell_78",-19.9590723470436,19.6780048350207,"7","7","Cell_78"
"Cell_79",-17.8071354857421,-1.67315051796839,"1","4","Cell_79"
"Cell_80",3.94247893911538,-22.8228187565294,"4","6","Cell_80"
"Cell_81",-10.0126660520061,-22.8032517793449,"2","4","Cell_81"
"Cell_82",-17.5488268776912,-2.37278807356193,"1","4","Cell_82"
"Cell_83",-15.8042668365073,13.9317385194178,"7","7","Cell_83"
"Cell_84",-13.7461975436564,-7.02545378476255,"1","4","Cell_84"
"Cell_85",21.5309765342854,-16.3512089351779,"8","5","Cell_85"
"Cell_86",-4.243200040243,1.00478325266237,"3","4","Cell_86"
"Cell_87",27.4919851715046,-11.260485180029,"8","5","Cell_87"
"Cell_88",6.52986868385748,2.25886385136909,"3","1","Cell_88"
"Cell_89",16.531024003828,21.8856449134681,"6","8","Cell_89"
"Cell_90",-1.43016307356585,26.2426928070175,"5","2","Cell_90"
"Cell_91",-22.4735393743514,10.0725128598663,"7","7","Cell_91"
"Cell_92",3.93918549047181,-26.2511621397593,"2","6","Cell_92"
"Cell_93",14.9621875582807,-18.9822732237806,"4","6","Cell_93"
"Cell_94",-12.2320849189778,-25.3538428487808,"2","4","Cell_94"
"Cell_95",12.0432340676691,-28.6462889988625,"4","6","Cell_95"
"Cell_96",0.785100375471811,-8.55426680766106,"4","4","Cell_96"
"Cell_97",2.80335700628586,-35.73041152611,"2","3","Cell_97"
"Cell_98",-2.48803549733484,2.16730902518041,"3","4","Cell_98"
"Cell_99",-4.01457118519161,-7.41159220055627,"3","4","Cell_99"
"Cell_100",-2.00509268182637,25.0427694284158,"5","2","Cell_100"
"Cell_101",4.42011365340128,-36.9258258366654,"2","3","Cell_101"
"Cell_102",32.222834730076,-14.7574381872572,"8","5","Cell_102"
"Cell_103",-12.8489428667658,1.76581103839611,"1","4","Cell_103"
"Cell_104",18.3512519116715,-15.7964483080657,"4","6","Cell_104"
"Cell_105",-21.219208067934,-17.2546275224242,"1","4","Cell_105"
"Cell_106",-4.30766386877974,7.29151403100385,"3","4","Cell_106"
"Cell_107",-4.6527440196146,-21.2848663889054,"2","4","Cell_107"
"Cell_108",-10.1241594564661,-24.024401017478,"2","4","Cell_108"
"Cell_109",29.0661805445591,-13.3212643935972,"8","5","Cell_109"
"Cell_110",0.0964377561847633,21.8310513706443,"5","2","Cell_110"
"Cell_111",-4.67995742178413,-22.7159082534156,"2","4","Cell_111"
"Cell_112",27.4119369099162,-13.5530107430705,"8","5","Cell_112"
"Cell_113",-8.20601991429966,9.42371939827869,"3","4","Cell_113"
"Cell_114",-16.5111124060418,-19.8826510791711,"1","4","Cell_114"
"Cell_115",23.3989781040895,-11.6406549937962,"8","5","Cell_115"
"Cell_116",4.41019058050731,-36.3052715706935,"2","3","Cell_116"
"Cell_117",14.871339750542,-11.1374167947462,"4","6","Cell_117"
"Cell_118",26.7893610718202,-15.2896284421776,"8","5","Cell_118"
"Cell_119",-18.7065383691024,5.57893198771673,"7","7","Cell_119"
"Cell_120",6.04873163036729,-12.583049106209,"4","6","Cell_120"
"Cell_121",-4.13711098169672,-18.8168829613003,"2","4","Cell_121"
"Cell_122",26.9251580461521,-14.3070257553606,"8","5","Cell_122"
"Cell_123",12.4404373305441,-27.6934654503383,"4","6","Cell_123"
