"","CellType"
"Cell_1","Young"
"Cell_8","Young"
"Cell_18","Young"
"Cell_23","Young"
"Cell_32","Young"
"Cell_34","Young"
"Cell_37","Young"
"Cell_45","Young"
"Cell_56","Young"
"Cell_85","Young"
"Cell_87","Young"
"Cell_102","Young"
"Cell_106","Young"
"Cell_113","Young"
"Cell_115","Young"
"Cell_127","Young"
"Cell_143","Young"
"Cell_159","Young"
"Cell_177","Young"
"Cell_196","Young"
"Cell_198","Young"
"Cell_217","Young"
"Cell_223","Young"
"Cell_231","Young"
"Cell_234","Young"
"Cell_236","Young"
"Cell_239","Young"
"Cell_249","Young"
"Cell_253","Young"
"Cell_258","Young"
"Cell_266","Young"
"Cell_274","Young"
"Cell_281","Young"
"Cell_283","Young"
"Cell_306","Young"
"Cell_312","Young"
"Cell_316","Young"
"Cell_319","Young"
"Cell_337","Young"
"Cell_357","Young"
"Cell_359","Young"
"Cell_361","Young"
"Cell_370","Young"
"Cell_375","Young"
"Cell_385","Young"
"Cell_399","Young"
"Cell_402","Young"
"Cell_408","Young"
"Cell_426","Young"
"Cell_433","Young"
"Cell_447","Young"
"Cell_453","Young"
"Cell_459","Young"
"Cell_464","Young"
"Cell_475","Young"
"Cell_476","Young"
"Cell_482","Young"
"Cell_504","Young"
"Cell_515","Young"
"Cell_521","Young"
"Cell_523","Young"
"Cell_536","Young"
"Cell_542","Young"
"Cell_545","Young"
"Cell_556","Young"
"Cell_559","Young"
"Cell_568","Young"
"Cell_570","Young"
"Cell_582","Young"
"Cell_601","Young"
"Cell_605","Young"
"Cell_620","Young"
"Cell_631","Young"
"Cell_645","Young"
"Cell_1100","Old"
"Cell_1210","Old"
"Cell_1510","Old"
"Cell_1710","Old"
"Cell_1810","Old"
"Cell_2810","Old"
"Cell_3310","Old"
"Cell_3910","Old"
"Cell_5310","Old"
"Cell_6610","Old"
"Cell_6910","Old"
"Cell_781","Old"
"Cell_871","Old"
"Cell_891","Old"
"Cell_931","Old"
"Cell_991","Old"
"Cell_1001","Old"
"Cell_1081","Old"
"Cell_1271","Old"
"Cell_1381","Old"
