"","CellType"
"Cell_545","Young"
"Cell_1810","Old"
"Cell_1451","Old"
"Cell_4681","Old"
"Cell_5371","Old"
"Cell_689","Old"
"Cell_325","Young"
"Cell_382","Young"
"Cell_500","Young"
"Cell_2100","Old"
"Cell_1351","Old"
"Cell_2981","Old"
"Cell_3021","Old"
"Cell_3631","Old"
"Cell_3651","Old"
"Cell_4531","Old"
"Cell_5081","Old"
"Cell_742","Old"
"Cell_766","Old"
"Cell_14","Young"
"Cell_110","Young"
"Cell_146","Young"
"Cell_228","Young"
"Cell_301","Young"
"Cell_302","Young"
"Cell_368","Young"
"Cell_394","Young"
"Cell_437","Young"
"Cell_485","Young"
"Cell_538","Young"
"Cell_575","Young"
"Cell_603","Young"
"Cell_606","Young"
"Cell_4610","Old"
"Cell_7010","Old"
"Cell_4511","Old"
"Cell_5401","Old"
"Cell_6351","Old"
"Cell_694","Old"
"Cell_19","Young"
"Cell_22","Young"
"Cell_46","Young"
"Cell_67","Young"
"Cell_73","Young"
"Cell_74","Young"
"Cell_78","Young"
"Cell_83","Young"
"Cell_88","Young"
"Cell_91","Young"
"Cell_119","Young"
"Cell_129","Young"
"Cell_139","Young"
"Cell_140","Young"
"Cell_161","Young"
"Cell_180","Young"
"Cell_202","Young"
"Cell_208","Young"
"Cell_224","Young"
"Cell_242","Young"
"Cell_287","Young"
"Cell_291","Young"
"Cell_299","Young"
"Cell_308","Young"
"Cell_326","Young"
"Cell_334","Young"
"Cell_336","Young"
"Cell_347","Young"
"Cell_386","Young"
"Cell_387","Young"
"Cell_390","Young"
"Cell_392","Young"
"Cell_409","Young"
"Cell_418","Young"
"Cell_435","Young"
"Cell_445","Young"
"Cell_452","Young"
"Cell_466","Young"
"Cell_480","Young"
"Cell_483","Young"
"Cell_499","Young"
"Cell_519","Young"
"Cell_524","Young"
"Cell_537","Young"
"Cell_541","Young"
"Cell_588","Young"
"Cell_594","Young"
"Cell_613","Young"
"Cell_627","Young"
"Cell_628","Young"
"Cell_630","Young"
"Cell_640","Young"
"Cell_642","Young"
"Cell_3100","Old"
"Cell_4100","Old"
"Cell_6100","Old"
"Cell_771","Old"
"Cell_1010","Old"
"Cell_2310","Old"
"Cell_2710","Old"
"Cell_3210","Old"
"Cell_3610","Old"
"Cell_3710","Old"
"Cell_3810","Old"
"Cell_4010","Old"
"Cell_4210","Old"
"Cell_4510","Old"
"Cell_5010","Old"
"Cell_5210","Old"
"Cell_5410","Old"
"Cell_5610","Old"
"Cell_5710","Old"
"Cell_5810","Old"
"Cell_5910","Old"
"Cell_6010","Old"
"Cell_6210","Old"
"Cell_7110","Old"
"Cell_7310","Old"
"Cell_7510","Old"
"Cell_791","Old"
"Cell_851","Old"
"Cell_861","Old"
"Cell_881","Old"
"Cell_901","Old"
"Cell_921","Old"
"Cell_981","Old"
"Cell_1011","Old"
"Cell_1021","Old"
"Cell_1031","Old"
"Cell_1101","Old"
"Cell_1111","Old"
"Cell_1131","Old"
"Cell_1171","Old"
"Cell_1211","Old"
"Cell_1281","Old"
"Cell_1311","Old"
"Cell_1321","Old"
"Cell_1371","Old"
"Cell_1411","Old"
"Cell_1421","Old"
"Cell_1431","Old"
"Cell_1471","Old"
"Cell_1481","Old"
"Cell_1501","Old"
"Cell_1521","Old"
"Cell_1541","Old"
"Cell_1631","Old"
"Cell_1641","Old"
"Cell_1671","Old"
"Cell_1681","Old"
"Cell_1741","Old"
"Cell_1761","Old"
"Cell_1781","Old"
"Cell_1831","Old"
"Cell_1851","Old"
"Cell_1881","Old"
"Cell_1901","Old"
"Cell_1911","Old"
"Cell_1941","Old"
"Cell_1991","Old"
"Cell_2031","Old"
"Cell_2121","Old"
"Cell_2151","Old"
"Cell_2211","Old"
"Cell_2231","Old"
"Cell_2241","Old"
"Cell_2261","Old"
"Cell_2311","Old"
"Cell_2401","Old"
"Cell_2481","Old"
"Cell_2491","Old"
"Cell_2521","Old"
"Cell_2531","Old"
"Cell_2551","Old"
"Cell_2651","Old"
"Cell_2681","Old"
"Cell_2711","Old"
"Cell_2731","Old"
"Cell_2741","Old"
"Cell_2751","Old"
"Cell_2771","Old"
"Cell_2901","Old"
"Cell_2911","Old"
"Cell_2921","Old"
"Cell_2941","Old"
"Cell_2951","Old"
"Cell_2961","Old"
"Cell_2991","Old"
"Cell_3041","Old"
"Cell_3051","Old"
"Cell_3071","Old"
"Cell_3141","Old"
"Cell_3151","Old"
"Cell_3191","Old"
"Cell_3201","Old"
"Cell_3231","Old"
"Cell_3241","Old"
"Cell_3291","Old"
"Cell_3341","Old"
"Cell_3371","Old"
"Cell_3401","Old"
"Cell_3501","Old"
"Cell_3521","Old"
"Cell_3531","Old"
"Cell_3561","Old"
"Cell_3571","Old"
"Cell_3681","Old"
"Cell_3711","Old"
"Cell_3781","Old"
"Cell_3831","Old"
"Cell_3861","Old"
"Cell_3881","Old"
"Cell_3891","Old"
"Cell_3921","Old"
"Cell_3941","Old"
"Cell_4031","Old"
"Cell_4041","Old"
"Cell_4091","Old"
"Cell_4111","Old"
"Cell_4121","Old"
"Cell_4131","Old"
"Cell_4151","Old"
"Cell_4161","Old"
"Cell_4191","Old"
"Cell_4201","Old"
"Cell_4241","Old"
"Cell_4251","Old"
"Cell_4261","Old"
"Cell_4281","Old"
"Cell_4301","Old"
"Cell_4311","Old"
"Cell_4321","Old"
"Cell_4341","Old"
"Cell_4351","Old"
"Cell_4481","Old"
"Cell_4521","Old"
"Cell_4551","Old"
"Cell_4661","Old"
"Cell_4751","Old"
"Cell_4781","Old"
"Cell_4791","Old"
"Cell_4801","Old"
"Cell_4821","Old"
"Cell_4861","Old"
"Cell_4881","Old"
"Cell_4911","Old"
"Cell_4951","Old"
"Cell_4971","Old"
"Cell_5011","Old"
"Cell_5041","Old"
"Cell_5101","Old"
"Cell_5161","Old"
"Cell_5181","Old"
"Cell_5191","Old"
"Cell_5231","Old"
"Cell_5291","Old"
"Cell_5321","Old"
"Cell_5361","Old"
"Cell_5381","Old"
"Cell_5411","Old"
"Cell_5421","Old"
"Cell_5461","Old"
"Cell_5471","Old"
"Cell_5521","Old"
"Cell_5561","Old"
"Cell_5581","Old"
"Cell_5601","Old"
"Cell_5611","Old"
"Cell_5621","Old"
"Cell_5631","Old"
"Cell_5651","Old"
"Cell_5661","Old"
"Cell_5711","Old"
"Cell_5731","Old"
"Cell_5741","Old"
"Cell_5761","Old"
"Cell_5791","Old"
"Cell_5861","Old"
"Cell_5871","Old"
"Cell_5901","Old"
"Cell_5911","Old"
"Cell_5981","Old"
"Cell_6011","Old"
"Cell_6061","Old"
"Cell_6071","Old"
"Cell_6081","Old"
"Cell_6091","Old"
"Cell_6111","Old"
"Cell_6121","Old"
"Cell_6161","Old"
"Cell_6221","Old"
"Cell_6241","Old"
"Cell_6261","Old"
"Cell_6271","Old"
"Cell_6301","Old"
"Cell_6331","Old"
"Cell_6381","Old"
"Cell_6421","Old"
"Cell_6451","Old"
"Cell_651","Old"
"Cell_653","Old"
"Cell_656","Old"
"Cell_659","Old"
"Cell_663","Old"
"Cell_665","Old"
"Cell_667","Old"
"Cell_673","Old"
"Cell_681","Old"
"Cell_683","Old"
"Cell_685","Old"
"Cell_688","Old"
"Cell_690","Old"
"Cell_697","Old"
"Cell_701","Old"
"Cell_702","Old"
"Cell_709","Old"
"Cell_711","Old"
"Cell_714","Old"
"Cell_716","Old"
"Cell_717","Old"
"Cell_719","Old"
"Cell_720","Old"
"Cell_721","Old"
"Cell_722","Old"
"Cell_725","Old"
"Cell_728","Old"
"Cell_732","Old"
"Cell_741","Old"
"Cell_743","Old"
"Cell_753","Old"
"Cell_754","Old"
"Cell_757","Old"
"Cell_760","Old"
"Cell_763","Old"
"Cell_768","Old"
"Cell_770","Old"
