"","CellType"
"Cell_30","Young"
"Cell_33","Young"
"Cell_72","Young"
"Cell_74","Young"
"Cell_85","Young"
"Cell_120","Young"
"Cell_137","Young"
"Cell_149","Young"
"Cell_157","Young"
"Cell_161","Young"
"Cell_187","Young"
"Cell_188","Young"
"Cell_233","Young"
"Cell_255","Young"
"Cell_256","Young"
"Cell_352","Young"
"Cell_380","Young"
"Cell_390","Young"
"Cell_405","Young"
"Cell_433","Young"
"Cell_439","Young"
"Cell_461","Young"
"Cell_502","Young"
"Cell_518","Young"
"Cell_535","Young"
"Cell_552","Young"
"Cell_585","Young"
"Cell_636","Young"
"Cell_650","Young"
"Cell_668","Young"
"Cell_689","Young"
"Cell_729","Young"
"Cell_730","Young"
"Cell_748","Young"
"Cell_752","Young"
"Cell_761","Young"
"Cell_766","Young"
"Cell_840","Young"
"Cell_844","Young"
"Cell_874","Young"
"Cell_880","Young"
"Cell_891","Young"
"Cell_959","Young"
"Cell_970","Young"
"Cell_973","Young"
"Cell_1016","Young"
"Cell_1020","Young"
"Cell_1049","Young"
"Cell_1051","Young"
"Cell_1064","Young"
"Cell_1069","Young"
"Cell_1080","Young"
"Cell_1103","Young"
"Cell_1110","Young"
"Cell_1125","Young"
"Cell_1187","Young"
"Cell_1198","Young"
"Cell_1209","Young"
"Cell_1228","Young"
"Cell_1235","Young"
"Cell_1246","Young"
"Cell_1261","Young"
"Cell_1274","Young"
"Cell_1293","Young"
"Cell_1315","Young"
"Cell_1324","Young"
"Cell_1334","Young"
"Cell_1355","Young"
"Cell_1369","Young"
"Cell_1397","Young"
"Cell_1407","Young"
"Cell_1408","Young"
"Cell_1416","Young"
"Cell_1439","Young"
"Cell_1442","Young"
"Cell_1465","Young"
"Cell_1493","Young"
"Cell_1605","Young"
"Cell_1621","Young"
"Cell_1625","Young"
"Cell_1633","Young"
"Cell_1718","Young"
"Cell_1762","Young"
"Cell_1770","Young"
"Cell_1782","Young"
"Cell_1806","Young"
"Cell_1809","Young"
"Cell_1837","Young"
"Cell_1847","Young"
"Cell_1874","Young"
"Cell_1881","Young"
"Cell_1891","Young"
"Cell_1892","Young"
"Cell_1942","Young"
"Cell_1948","Young"
"Cell_1949","Young"
"Cell_1980","Young"
"Cell_1983","Young"
"Cell_1990","Young"
"Cell_2015","Young"
"Cell_2016","Young"
"Cell_2018","Young"
"Cell_2026","Young"
"Cell_2029","Young"
"Cell_2057","Young"
"Cell_2101","Young"
"Cell_2106","Young"
"Cell_2124","Young"
"Cell_2135","Young"
"Cell_2141","Young"
"Cell_2166","Young"
"Cell_2173","Young"
"Cell_2176","Young"
"Cell_2178","Young"
"Cell_2192","Young"
"Cell_2212","Young"
"Cell_2236","Young"
"Cell_2260","Young"
"Cell_2268","Young"
"Cell_2318","Young"
"Cell_2334","Young"
"Cell_2337","Young"
"Cell_2339","Young"
"Cell_2345","Young"
"Cell_2384","Young"
"Cell_2385","Young"
"Cell_2405","Young"
"Cell_2435","Young"
"Cell_2437","Young"
"Cell_2462","Young"
"Cell_2463","Young"
"Cell_2476","Young"
"Cell_2492","Young"
"Cell_2508","Young"
"Cell_2535","Young"
"Cell_2545","Young"
"Cell_2548","Young"
"Cell_2552","Young"
"Cell_2573","Young"
"Cell_2582","Young"
"Cell_2598","Young"
"Cell_2633","Young"
"Cell_2639","Young"
"Cell_2648","Young"
"Cell_2658","Young"
"Cell_2686","Young"
"Cell_2692","Young"
"Cell_2699","Young"
"Cell_2724","Young"
"Cell_2738","Young"
"Cell_2747","Young"
"Cell_2749","Young"
"Cell_2756","Young"
"Cell_2775","Young"
"Cell_2794","Young"
"Cell_2799","Young"
"Cell_2854","Young"
"Cell_2857","Young"
"Cell_2874","Young"
"Cell_2882","Young"
"Cell_2895","Young"
"Cell_2908","Young"
"Cell_2913","Young"
"Cell_2942","Young"
"Cell_2946","Young"
"Cell_2959","Young"
"Cell_2975","Young"
"Cell_2980","Young"
"Cell_2995","Young"
"Cell_3041","Young"
"Cell_3047","Young"
"Cell_3068","Young"
"Cell_3074","Young"
"Cell_3079","Young"
"Cell_3087","Young"
"Cell_3094","Young"
"Cell_3114","Young"
"Cell_3116","Young"
"Cell_3118","Young"
"Cell_3130","Young"
"Cell_3142","Young"
"Cell_3146","Young"
"Cell_3147","Young"
"Cell_3149","Young"
"Cell_3166","Old"
"Cell_4100","Old"
"Cell_5100","Old"
"Cell_7100","Old"
"Cell_18100","Old"
"Cell_22100","Old"
"Cell_23100","Old"
"Cell_28100","Old"
"Cell_30100","Old"
"Cell_3610","Old"
"Cell_4710","Old"
"Cell_4910","Old"
"Cell_5110","Old"
"Cell_5310","Old"
"Cell_6110","Old"
"Cell_6510","Old"
"Cell_6710","Old"
