Genes,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Avg_p_values
Pam,5.7993101006004826e-08,7.438655702566181e-07,1.0568535041536697e-08,1.3477144888128134e-07,1.124222406753072e-08,5.860271538963921e-08,2.2945211636633122e-07,4.982704715013251e-09,4.504323016068288e-06,2.7539871874063687e-07,1.1203186049094163e-08,5.478763430391531e-06,1.949886853997673e-07,3.453135235539209e-08,1.5109333970947938e-07,3.923726135448853e-08,8.323332423140146e-09,2.482710991931216e-06,1.3930377611699655e-07,4.470351266586269e-08,7.308029509464923e-07
Atp2b4,1.5968006431127918e-06,5.2875834439666755e-08,2.7422327413589305e-06,2.064485624508851e-06,6.673341272845205e-09,5.700480599479907e-07,2.421004203398378e-07,1.2179821586609704e-07,3.4784485317207247e-06,9.740943126027397e-08,3.89918010908158e-09,1.0848214883686586e-09,3.8467449237504984e-07,6.500953350169543e-07,1.852113155078475e-08,6.193669279632735e-07,5.904643995269134e-06,1.6781581236487e-07,1.9212982853482224e-07,6.441479340757714e-08,9.489759580953964e-07
Hmcn1,7.3894769305768925e-09,2.731892695529719e-08,5.566762629690429e-09,4.884881206305054e-08,3.8379185438080497e-07,3.9082141648169853e-07,5.4745044592429023e-08,2.5033621430897826e-06,2.0025710060700436e-07,1.2318232262944528e-06,1.5310715209531194e-08,1.8822800532899837e-07,2.5692719027808297e-06,2.0167171835320983e-06,3.059151893055961e-07,1.176014035594053e-06,2.0251751599545035e-06,2.197387380844753e-07,4.152776719515509e-08,4.655429548049986e-08,6.729188878245264e-07
Ptpn14,3.611668837035562e-07,3.1157161100814544e-07,1.4878686129891046e-06,1.8030816510252422e-06,1.3218481229078019e-07,2.2990846682715783e-06,4.2956603859229906e-05,1.1831591678933969e-05,9.36149875575652e-07,2.2557915662655488e-05,2.6115400845270887e-06,3.656971946147412e-06,9.164224350808027e-07,6.587709826228495e-07,6.919877944825691e-05,3.2643083712421995e-06,2.099997694025663e-06,8.884441100277587e-08,7.057351901161107e-06,2.733785865490666e-07,8.725179258814962e-06
Eng,3.7552989192222605e-06,2.10399923375944e-06,1.507382907398937e-06,6.533314163273237e-07,8.131229327811415e-08,1.5123144008201663e-08,1.6740366486117772e-05,6.05695094431694e-07,2.985655756866362e-07,1.3063282105358364e-05,3.210449033959925e-07,2.7346638349130187e-06,1.564130406534094e-05,1.7805287321417806e-06,1.2327406359126433e-06,7.904668057159918e-07,5.692708961902085e-07,9.958891428662425e-07,2.674716877305445e-05,6.64928065642234e-08,4.485196388584212e-06
Rbms1,4.391388037959685e-07,2.476123997787378e-06,9.189639159429012e-09,1.7166221150774727e-05,7.857089077054934e-09,4.124903158356016e-06,3.6735841976205734e-07,2.1189899268791614e-06,2.811105524645208e-07,6.949669688654981e-07,9.613762251016497e-08,1.6378935532922678e-07,3.4973065792964025e-09,7.44053537884669e-07,2.26985080764055e-07,3.2669442008411107e-06,8.70401824288977e-06,5.052292706945068e-08,2.717107310550641e-07,3.687569127519581e-07,2.079113781229829e-06
Cd93,1.9327277235564147e-06,2.223019219776107e-08,1.8847597486844576e-08,2.2797453557429977e-06,3.1391352364473057e-07,1.483372446235759e-07,1.7916311676933968e-08,1.1905671926001235e-08,5.191202132099873e-07,5.249338750204267e-07,1.7792203801022827e-06,2.30098080584022e-06,6.304330858172815e-07,2.461191888918844e-06,4.04054796203256e-08,1.5112113401738376e-08,1.9832156848356134e-08,5.134537785740838e-07,7.40473916489103e-07,6.900812898561043e-07,7.490431302277007e-07
Ddx3x,9.752839280469997e-07,1.441735251191887e-05,1.4081256687965443e-06,5.206712124407557e-06,3.2460450590852496e-06,2.175238617014883e-06,1.1674870207727706e-06,2.3796656736621915e-06,9.30704265249428e-06,1.2068852235181951e-05,5.339747679085532e-07,1.2282032012912523e-06,1.4680733204115467e-05,4.015781631891339e-06,3.2837447949717376e-05,2.1208999644905787e-05,5.0420201888739704e-06,3.4422728346008813e-05,7.915388644084288e-06,1.2175332045734436e-06,8.77273081373758e-06
Fabp5,4.27508084157062e-07,1.2539656064260859e-06,1.0857555187335978e-05,8.349001946386876e-06,1.5788408045588463e-07,9.067253969792084e-07,1.0927742785597374e-07,2.0392433170449563e-05,1.55162338687617e-05,1.8552647956104144e-06,2.901265356447036e-07,5.68759795944582e-06,6.860580107645486e-05,1.723803594092962e-06,3.0758576963834293e-06,8.460581899486585e-06,1.5711316255178515e-05,1.6505191448203155e-06,7.015091010927249e-07,7.855387472653186e-06,8.679417514983593e-06
Plpp3,2.219119933139154e-05,1.7836627165268569e-07,4.980099490054734e-06,3.963920701595776e-06,2.276958399601496e-05,7.209293777675759e-06,1.5006097387335556e-06,7.830077362240452e-07,5.301852750525286e-06,4.5952666409266457e-07,2.0816165145223064e-06,1.271490208053282e-05,5.913134160716965e-07,1.2280865269801079e-05,1.1910892228454132e-05,7.357768479524512e-06,1.630917617910069e-06,1.6797900656509153e-05,5.896515297521411e-06,3.366536434532053e-05,8.713275818206436e-06
