Genes,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Avg_p_values
Atp6v1h,2.3179339262591524e-07,3.1287675152634133e-06,1.792245518820429e-06,1.749089715681219e-09,7.556574539181233e-06,1.0341479877989379e-09,7.973777043357558e-08,7.52433043810085e-09,4.870111946534693e-07,3.472320146503945e-08,8.484696675535758e-09,4.980625836847674e-09,6.044442772174778e-07,2.73618146087453e-08,2.8159414970386177e-08,4.55057611255148e-07,7.53476479355439e-05,5.935104465528943e-09,1.1007720661687181e-07,1.7352404567891905e-07,2.240296007892131e-08,0.00032669393804675027,1.1767558972033784e-09,7.980682772726764e-07,3.1581994079181483e-09,2.6612514811383397e-08,6.249883278148565e-06,2.754678182867061e-09,3.2816163471669285e-09,1.1776229384318927e-07,2.5615096101394247e-08,8.280069646162478e-10,4.538294703511312e-08,1.1798935683885167e-06,7.122400939839953e-08,5.402148468918051e-07,1.2874050494768145e-07,6.510130225610206e-08,5.6612103387583825e-09,3.801006670875065e-06,1.4446844690216048e-05,6.593341544413074e-07,4.60661357272255e-06,2.9952045867762513e-07,6.585016330979416e-07,2.679837674252745e-10,1.0075833959402874e-08,1.6176844313410059e-06,1.2433588669684211e-06,9.156629324567895e-06,7.199193719689728e-07,4.409954490611831e-07,9.902775977268805e-07,1.270438887702043e-07,7.250309891805808e-08,7.285549173936826e-07,2.757794304301243e-07,4.0648984984180306e-09,1.032501703225124e-09,1.2051518697772462e-06,1.0483999149332841e-09,5.703880486290309e-09,1.4095301841158803e-08,1.968691066355615e-10,1.2634824004861197e-07,4.536435434738249e-06,4.874961756045556e-07,2.131878586905518e-06,5.8201101156928956e-08,5.0931197555088655e-09,1.2212844721771278e-06,1.914431724776704e-06,1.4165948225242837e-08,7.430833707045106e-07,1.9740179127333477e-07,2.432625930702657e-06,5.160060301064337e-08,2.2111503275259617e-05,1.7402362900590551e-07,3.7458206613476326e-09,1.3105418311121093e-06,4.562627394240379e-07,2.6231518847773552e-09,3.5357120722712153e-11,5.486557764263431e-07,2.981527770235233e-06,7.386323466649617e-08,5.5136804878836764e-09,2.4963652635167707e-07,7.208847187921543e-07,3.371239386046443e-05,3.577151295852659e-08,1.3292098522347935e-07,3.7461463140862975e-06,1.9294839463859783e-09,1.6990340969780033e-06,2.69277967327833e-06,1.825048323863029e-07,5.4484178071963486e-08,3.353514532069931e-06,5.5532508212272e-06
Fhl2,2.001243919541502e-06,1.3172666688926676e-06,2.081239037511872e-09,6.5034082232898846e-09,5.942661381875012e-07,8.278233477446356e-09,5.607337176678719e-06,4.2656256137970396e-07,7.550570647949786e-06,1.0630906424969124e-07,1.3109747636227063e-06,2.5585649031789364e-08,1.481073701951564e-08,1.287310434373543e-07,2.0219775678987368e-05,1.3620191091259642e-05,1.7810091155009302e-09,2.0471552012479855e-06,2.8960103986994824e-08,2.386420735400523e-06,2.451934273326777e-07,5.211223619113798e-08,5.019908310613477e-07,1.8342980304762234e-08,1.7989726099114313e-08,2.2112744532874902e-07,1.1885225637329238e-09,3.119400529013856e-07,3.4544874186557234e-06,1.448534073276816e-06,1.604661057154028e-07,8.609924782768777e-09,2.2556292156940866e-06,3.97007230392438e-05,2.0231762031264604e-08,1.9295228288368308e-09,1.1752127863617637e-09,1.1390305086150802e-07,9.312020889830421e-08,8.149864267659084e-09,9.809733988878472e-09,4.3313789828808924e-11,2.5837933659165716e-08,5.890694981870849e-07,2.2320046932438302e-08,7.423065999968138e-08,1.16040607165399e-06,1.0481682731291517e-05,0.0001048638676386264,4.9398139811624314e-08,2.4019026720741534e-07,1.5160352032818287e-09,8.126822500421205e-06,5.870818157601147e-08,4.979559581177612e-07,3.8367320403831e-06,3.2034288080453565e-08,4.613217062795214e-07,1.1584432765277994e-11,6.594403258409969e-06,3.15443062825666e-10,5.217708001030061e-05,1.1755604592320166e-05,3.6920486210533505e-08,3.577483550129889e-08,1.2742005010977508e-07,1.5739803534742988e-08,3.0974332298310397e-07,1.4824300335160745e-07,1.970166290672132e-06,2.7037830231538824e-06,5.294638607179845e-07,5.143857806676497e-08,6.680525780548147e-08,1.0848934766591954e-07,2.558163066030122e-06,3.255484747740025e-07,7.809225749346771e-07,1.9842065767054674e-08,3.013129449044357e-07,7.446216013117327e-10,1.2436978265954444e-10,1.9119391183192662e-08,3.5812546333073063e-07,8.948416700283193e-08,3.9278490320995265e-08,8.830710195858224e-09,5.004833798659083e-06,7.024204186042585e-07,2.5137077872011304e-08,1.3163557298024685e-06,6.994706251310441e-09,1.2133325288380183e-07,4.0446477928076206e-08,3.4388870882897123e-06,1.998806986971947e-08,6.625563625648332e-08,1.1457811256034909e-07,2.4932792342961584e-08,3.108843047156534e-08,3.2861974711668128e-06
Sdpr,1.8498027809301776e-09,4.9973958018673234e-11,1.7256276132631092e-11,1.3198081964555994e-08,1.2196154697895443e-11,7.886069424905903e-12,3.5428801775603413e-11,1.9008063384872832e-11,6.691100554465587e-09,7.891156509740573e-11,7.166143871879194e-09,2.2075507367743193e-09,7.39766312776904e-09,4.478440875080993e-14,2.3133627111224885e-09,1.0748911655306208e-10,5.532427763056184e-12,8.613578715612222e-08,1.7677877880795646e-10,5.067629145621653e-12,5.369904028561004e-11,1.1912399119271626e-10,1.3352447823076592e-09,7.968556540949208e-08,1.9910733627522287e-09,2.513914800742172e-08,1.647175744127419e-08,5.189214505472963e-10,7.83209575615679e-14,1.709528998458606e-10,1.2647776388547206e-08,1.6822008849418393e-11,3.078362726488331e-08,1.2332538287552862e-13,1.7004904490748336e-08,3.589789340970675e-11,3.9885160609321693e-10,3.879593102844594e-08,2.073069633846114e-07,7.939064674971027e-12,4.166005850873757e-11,8.651869813930344e-12,6.034088416942008e-10,6.778943244461585e-10,9.125468254499841e-10,4.024026815488618e-08,9.820988432683725e-10,1.8458096662876422e-09,1.1354669456912306e-07,1.260243191884616e-07,1.2993147919384035e-08,2.173937284653326e-08,1.1372506793739077e-09,3.794170440777879e-09,6.936174224089658e-11,3.427059366868365e-10,5.171671256276514e-09,1.2947154417274717e-08,8.816177635953048e-09,4.541450116455431e-12,1.447017221342004e-06,2.629929098668315e-08,1.6250565366904776e-08,1.7673868732596213e-08,1.6467676794321136e-08,2.632770308127042e-09,1.5646367569796355e-10,4.985163048810462e-13,8.027274466553761e-11,1.0569768056440386e-07,9.344916683917971e-11,1.1049532254124225e-09,4.0264009759269814e-10,1.5411904040826647e-09,3.1886551357730987e-10,3.2395921336918323e-10,2.8863575036937936e-12,1.302582165055912e-14,2.2840811163040915e-09,2.1264208262731628e-10,9.258654078224116e-12,5.092170986839266e-09,1.0223762932183639e-10,3.4158023285102077e-12,6.942011341933257e-11,9.456699789487149e-12,1.8882197090668274e-09,3.856634594842794e-09,6.5154738528034695e-12,3.950572098143059e-10,9.449564804312246e-12,1.780183511200276e-10,7.105867693455708e-08,1.822283523226082e-09,4.336257960289453e-10,1.61513772988335e-09,6.196616993376317e-09,1.0035477849763889e-13,8.126173442562203e-12,1.0113675502710958e-10,2.6432749226415466e-08
Gls,1.0089175928877226e-09,3.5524539174655084e-09,5.698505713574416e-09,8.440160283782223e-12,3.555725850806219e-08,1.1854549135725402e-10,2.3056653274168896e-10,1.3914752059925973e-08,4.1413447920746194e-07,1.4956110850608853e-08,8.568447759103963e-08,6.181062550543087e-09,2.6098089499933263e-08,4.501580359729774e-09,3.46633766877251e-09,3.4727811039645596e-09,2.9111760404864466e-08,2.0213209104355955e-07,2.4122380771829247e-10,1.8812597241719573e-10,5.115077341987949e-08,1.7759321411041774e-10,2.992183413972425e-06,1.9142458250339045e-10,2.584807358665672e-09,3.1180098423602696e-12,1.923813999163402e-08,2.0485985485937016e-08,3.281689847585999e-07,2.8455352398942207e-10,3.2323348727265045e-11,2.1234371057600162e-08,1.2802709643592868e-11,9.58074956382391e-10,4.3854213506188176e-10,2.6239702503428383e-09,2.177901223710937e-09,1.5656343018532064e-09,7.715739925353672e-09,3.5779440772506404e-09,8.347193202471395e-09,2.2187956585980247e-08,3.0897815376929954e-10,1.9495511290625789e-07,3.710331876631754e-09,1.1337193341497735e-08,6.51600066866616e-06,2.3033498948620283e-09,1.23815753626443e-07,4.213040940690567e-08,1.755215864052854e-08,6.193136744424679e-11,6.916074154550095e-09,4.833721460253566e-10,1.6891839422330053e-08,4.446985406733455e-08,3.342104008755343e-09,1.0372608005106396e-08,7.414778674465153e-07,2.1032276253078093e-08,6.795034342575598e-07,6.776169066528087e-08,7.504120438183698e-10,2.6277409784954558e-09,1.397297898052884e-08,1.2429687580573596e-08,1.1707997290086366e-07,6.973939880508521e-11,1.6634477195811394e-08,1.810475414989044e-07,1.8163765746367346e-07,2.726269276006172e-07,3.1731256539203224e-10,5.236447268370997e-09,5.3439095780173136e-08,1.5404700178226737e-09,1.8783487851090523e-08,2.6247543343223944e-07,7.319390846765291e-09,2.9081828118459143e-08,7.764680311196218e-09,8.58746281115309e-11,1.1022942032225875e-09,2.6543685236066072e-08,3.5679316646985324e-08,8.44817917522862e-09,7.463241222068996e-09,1.1274635795369205e-11,5.225792784691429e-10,1.5627031613382166e-08,2.007116865527392e-09,6.5136310763178334e-09,5.1792343789705954e-08,2.794047927943258e-07,1.027780125528083e-09,2.421339454687783e-08,3.927910532782522e-09,3.676072317557002e-07,2.1088943534348967e-09,2.3968215894228613e-08,1.488291588664327e-07
Hspd1,5.851690180578748e-08,1.8520687324750016e-07,4.5218487191954025e-10,3.8058889161726804e-08,2.049346331557202e-09,7.979501522395232e-08,9.592158047349621e-11,4.040980212171294e-09,1.2384221199454428e-09,5.142106423260941e-07,7.635440196241167e-09,5.154863185126273e-10,1.2756088989249225e-10,8.285018321011849e-10,3.620473981734635e-07,1.8319485292194673e-09,2.9122315340158332e-09,8.595798070089407e-07,6.169463742838544e-10,1.4933216357275527e-08,2.344685367037127e-10,2.555628452806464e-07,9.858010603054272e-08,4.439684918177366e-09,1.0988029603205714e-10,2.0095310894825513e-09,1.939390849075244e-09,5.089977823006804e-06,3.0254964638408096e-09,7.3259527090527394e-09,3.2915492586174086e-07,9.054420229492726e-09,2.619975560712622e-09,2.1210863874093145e-07,6.442028437106599e-10,2.850372686837396e-08,5.908150195825583e-11,6.903818009788291e-09,2.646482267439108e-08,5.175087787252934e-10,3.4072753289202252e-09,5.0024506239444046e-08,2.084006444215026e-06,4.4683451992413763e-07,3.757849914495905e-11,4.5347012240185157e-10,9.660705893264603e-08,6.388730470048533e-09,4.560617802321995e-09,1.33251430805969e-11,1.971519936853727e-08,7.550704845785255e-09,3.878965652351065e-11,3.47129085928954e-11,1.6480710323894524e-08,1.8238640977724355e-09,4.3899771192426827e-08,8.846704541924628e-09,1.734773604459928e-09,4.2184143226237304e-08,1.8826954229450798e-09,1.1491875059180287e-08,4.8297296216591884e-08,6.470339531383788e-07,1.5289544701167304e-06,4.24628360122887e-09,3.543164070746949e-09,1.1299078096875324e-09,1.716719950549312e-08,1.0623844801460254e-07,6.107185703824615e-10,3.2932525518926223e-10,7.92691805075708e-12,1.481256656500224e-06,3.162063799205976e-08,3.396850185843605e-08,1.3137606300197319e-08,1.7192926870185028e-10,6.8640468133454105e-09,2.37161856687552e-09,1.1151165181096306e-07,7.377790951840719e-07,2.577414456602378e-12,1.750123063334517e-10,8.332108876363674e-10,2.298946440032519e-08,1.742645279396457e-11,5.17004588321763e-11,1.640461760106695e-10,6.773558680138024e-08,5.597661738928123e-08,5.128821103632192e-10,1.7039888736456614e-08,8.228757140637674e-09,1.0593456009070257e-07,1.3622408170669855e-08,2.9638647295613686e-07,1.965532051467736e-09,2.028308569368636e-06,2.295295646338783e-10,1.8458362165259427e-07
Clk1,6.524847165745025e-08,8.007058415128893e-07,2.187112728691882e-08,3.589890371648872e-08,5.51025759928615e-07,5.266596930387234e-08,1.4119908094840224e-06,8.582034183245476e-07,8.810074970444255e-08,7.853689803762747e-10,1.343226245328141e-09,6.67786432630993e-07,3.4090557489338125e-08,7.639860260204185e-09,1.839146222986194e-05,5.511451406040169e-09,4.748242941955845e-08,1.9287842221169204e-09,5.691754781532771e-08,4.436052467422232e-09,1.2438839963753745e-06,4.666242487558331e-10,1.3505826957452554e-06,4.8745418673593995e-09,4.580298134753909e-05,7.36442461239425e-08,5.343944523249984e-07,1.7320486639633785e-08,6.321845778302524e-05,2.0441095522433682e-10,3.3915625480553983e-09,5.329368228017235e-08,2.3595274416706634e-07,4.195594058233464e-09,2.363516163069524e-08,1.8736442984106613e-08,6.287968679904913e-08,1.2285690649357124e-06,4.300868638341495e-09,6.48176133275034e-08,5.6140556273543206e-08,1.2540910867171181e-08,1.037588178550145e-07,1.066382506431483e-06,2.293041935844107e-06,1.273039360442635e-06,2.0093689898522298e-08,1.1711886762176401e-06,7.131917568975193e-08,3.2462945439907766e-09,6.344070858110128e-07,8.924839424451273e-07,1.3344411407464963e-07,1.8384490894786522e-08,2.565411681822924e-09,1.4263332885304328e-08,3.630633520609885e-05,2.9321689837104424e-08,1.4165736244155119e-08,4.803945733916235e-09,4.865587965980375e-06,3.9185118943817684e-07,1.666072903625767e-08,5.052952112822492e-08,1.3079175076604971e-06,7.972846253458708e-08,2.2333590673326667e-07,3.043963174363861e-07,1.707588242766782e-06,4.91072051077344e-09,1.0995327238750482e-08,4.365723181864649e-08,1.4011685826576086e-11,5.146974060206158e-07,2.738206732078229e-06,1.3014076355967334e-08,1.4821786018188524e-07,9.303016536109995e-08,7.750149756676547e-06,9.243674835429662e-07,1.8675884839803385e-09,2.1275660316568265e-05,5.942048884375904e-08,1.5253068838511577e-07,1.3528028386335217e-07,3.7488934551820635e-08,7.079402236997472e-08,3.791020416443473e-09,8.300884038789406e-05,2.2767128541432126e-09,6.90637303565013e-06,4.845646583547965e-07,5.165968448919075e-09,8.833564791225682e-08,6.060719453918485e-08,1.9459527380819622e-08,4.183550513675922e-09,5.750129555695367e-08,8.779118098695345e-08,5.784729739200103e-08,3.1488124129285467e-06
Cflar,2.003498246800999e-08,1.488607414415086e-11,1.0652559916693217e-06,1.2454948188411635e-12,1.5974609073426228e-07,4.0509799957496706e-11,3.3175727524268923e-09,1.099540823968518e-10,1.342229849979051e-09,6.482834123664063e-11,2.2023678402430288e-11,1.3504339625657285e-07,9.651664317832087e-09,9.796606709948196e-11,3.306999285728408e-07,2.784024248626953e-08,1.842872423435206e-09,1.5020721752943033e-07,1.4302414691276027e-09,3.1751346093926955e-11,1.4289002339436596e-08,5.50365669739731e-10,1.7643324993669319e-10,9.127008561568112e-10,3.537276572467264e-13,2.6134104179785613e-08,5.1811727865832496e-11,2.726454573342002e-08,7.513329966791596e-10,8.447940660129426e-10,7.03971275983338e-07,1.2007772601123592e-06,1.7688472846166822e-07,4.333646489227534e-11,7.731015885703199e-09,1.5175946401832014e-10,4.011872269426716e-09,1.7380427237461908e-09,2.1456820171588375e-10,6.2091041406328046e-09,1.8999144841860006e-10,2.6350205186065763e-09,8.32654417016493e-09,2.547254496770125e-10,1.4585535486257372e-07,2.52442983221105e-10,1.7247988451725345e-07,1.6829030531559247e-10,2.178283416243015e-12,1.3544936419320172e-08,3.857096371494252e-09,1.4325068529156733e-07,4.979987842872285e-10,9.622677391034282e-11,2.4853744670887004e-11,1.4413804892199132e-09,6.316655903057641e-09,5.962567597167791e-07,1.2450569889536776e-09,3.203981853693588e-10,2.7252149411079286e-08,2.7399258052452562e-11,1.209310449507845e-10,3.203899436964605e-10,2.9054250909939147e-10,7.706730501934656e-07,2.1865987749270246e-11,5.07294374013601e-10,5.214987290481424e-09,1.3088530752161996e-07,2.1473132464895465e-08,6.781228598481088e-11,1.0378586567686095e-08,2.4738882250231423e-09,1.3757892214912574e-10,5.650740463040504e-10,1.72701611195634e-08,2.0871609510148793e-10,2.3889016510056913e-07,6.934399862784561e-09,8.127075542272742e-09,7.54468076334918e-09,3.096819338389364e-08,1.2273854145378144e-07,1.9502477936460507e-09,2.8807790588266857e-09,1.4358172286602953e-07,2.0523355270348207e-10,2.6580498952322868e-09,6.571142438078711e-11,4.430324664838138e-07,5.330254204570338e-10,7.741370378614296e-11,2.9505427576302863e-09,2.5291724079591503e-09,2.1688853601538426e-12,4.746796742674009e-09,2.5598891627615445e-09,2.1336296739616517e-10,5.914286755002636e-08,7.246741858915376e-08
Sumo1,7.946271487473299e-09,4.403057479587463e-07,3.3397650197135787e-10,1.1642525701714209e-07,1.832359297378024e-07,5.781057905565269e-07,1.1796563410544322e-08,2.977410985773012e-09,4.714363177539569e-06,1.2638708986014604e-08,1.1762675311033876e-07,2.415055055293279e-06,8.997065211516355e-07,1.6181859140960696e-06,5.903131049748469e-09,1.2582180715736052e-05,4.438686310463604e-07,1.3221962039939496e-11,2.2991975414789804e-06,3.901610432359435e-07,4.0528000024031015e-06,7.693908739073438e-06,4.1539003185817495e-07,5.737754089621545e-09,1.2605562320680372e-06,0.00013360241433559396,8.333678912320754e-07,1.0606191871099283e-07,7.440849493327463e-10,1.8715789478081036e-10,2.5067051895459275e-08,4.0356406179043005e-09,2.6906432157526386e-06,1.8582432680347869e-09,1.8690865058115193e-06,2.2600282922110943e-06,4.3218917222848366e-07,6.567334665138994e-07,1.6723671029852223e-08,1.9221995691798944e-07,9.553430029225077e-06,3.8652666495314277e-08,1.2263140608415225e-05,2.0888264956056527e-07,6.888746409528475e-05,2.0937083207310873e-06,2.2830501165496693e-08,1.9901268022756177e-07,1.0777394188661653e-09,1.1832037418330589e-06,8.371015854973241e-08,5.376195740421895e-06,1.3361030083996202e-08,1.789524015714732e-08,2.1503931388393534e-08,1.2432932447307395e-07,1.3635079984022996e-07,4.4116417449551027e-07,3.894177346256913e-07,8.232629143724405e-08,6.606572662771036e-11,4.698380520605579e-07,3.156697084586633e-08,8.708025841916344e-07,2.4062702126759856e-08,2.3194374681264986e-05,1.508772539054022e-07,8.230225309767946e-09,1.2425011379296824e-07,6.0027619026614595e-06,3.0452985914543927e-10,4.0749322759708216e-07,1.943598426397658e-06,7.275445197575955e-10,3.9944334960928145e-08,2.06058772719691e-06,9.628451306677008e-08,2.927560514475517e-09,7.940677483071854e-09,2.714399067198278e-09,1.356850077228424e-09,6.904608981019941e-07,7.828502795226328e-09,9.267187222726514e-05,7.018910913940023e-06,2.498471911456891e-06,1.6863173911064239e-07,1.058906845524959e-09,4.641308750195836e-07,6.668642810861902e-06,9.77820139574211e-07,9.794015125533135e-09,1.908724135270825e-05,1.788690130091435e-07,1.01810721046443e-09,1.3188257268520088e-06,5.6512799317597756e-06,1.200610861680502e-06,2.9999236948606143e-06,1.7009376799231054e-09,4.6115524109277586e-06
Bmpr2,1.036896742721749e-07,3.327657455570872e-10,1.4980107240132474e-11,5.335092647833443e-09,3.271989599067232e-12,2.370053967996132e-09,1.7769675460292984e-12,1.2012214228384211e-11,1.5593770082354522e-08,1.2351406441438129e-09,3.0411985775556874e-10,8.123212592890754e-12,2.3644844562104223e-08,5.88255063926906e-12,8.23461068805375e-11,2.242023248203875e-11,8.894631546704994e-14,1.77193356805035e-10,2.2036835352788813e-11,1.8778067506953296e-10,6.000086863817953e-10,1.0619203909754759e-11,3.6809827858537995e-08,9.733916165500195e-12,1.1942215267536313e-10,1.4267323478365975e-11,7.314276347255501e-10,6.648532166775107e-12,4.144444045984783e-11,5.021417997331081e-11,2.3086602925533272e-10,2.9052509676682883e-10,1.2264914906621507e-08,1.4925220851145948e-11,1.7904110971168575e-10,6.839993771715831e-11,8.413912920569259e-11,7.524722009774686e-09,1.4847401728563686e-12,1.6617994616874373e-09,7.079022940436224e-12,8.959528613617298e-11,7.166250735204758e-10,1.013046219771754e-09,2.1437202884079012e-10,1.663015437822963e-09,4.5657352788336927e-10,2.1507742993257185e-10,2.0148063922619315e-11,2.6232080434666255e-09,2.04153231437702e-12,2.1053179003556862e-10,6.028165913148046e-10,2.7050001165553237e-11,1.289208869953676e-09,1.1317103599233116e-11,3.900626991819333e-09,4.535652740745831e-09,1.3356175567716168e-10,3.864090527055167e-11,5.841041980314737e-10,6.244065437916832e-13,1.5956337897662422e-10,9.246648375827045e-10,1.0282325269080793e-09,7.132148695384075e-09,2.8127055195182788e-11,3.137942363747863e-10,5.6790561599905034e-09,6.230634314590187e-09,1.363502091171929e-10,3.2969687927331587e-11,1.6562465625470216e-09,3.476177228810895e-10,8.503004180504001e-12,4.263201428562121e-12,1.6864566336618814e-10,3.4061008265311576e-10,1.9792314180951043e-10,6.080760516003494e-11,1.5463938216395745e-10,1.8725594804412613e-10,2.756347710675546e-10,5.0858726604478486e-11,1.3156279882766719e-11,4.809508414440291e-10,8.738576752862461e-11,6.718029132459752e-12,9.181394857389331e-10,3.193483337917388e-10,1.2424987993398015e-09,4.316571537030946e-09,7.765571862424262e-11,3.6060568342179264e-08,1.1429194098724796e-11,3.5716432575268323e-11,1.6409016005787324e-13,1.5889338314416833e-09,4.550758673361113e-09,2.06351497876024e-11,3.0696190098568853e-09
Fn1,2.5322288867473852e-11,3.9468506394766615e-10,1.4760043091733822e-08,2.8877559362145433e-07,4.591619838253982e-07,4.948766018680766e-10,1.0639425518011314e-07,1.1509073244406871e-08,2.7926503474427914e-09,1.4994107240006785e-08,1.4015320525194565e-08,3.1888299695843125e-08,0.0001526746739025425,8.164780024046309e-07,2.223364550246913e-08,8.010240586021267e-08,4.728304255922749e-07,5.588564436768656e-09,6.268649453171651e-09,1.2690931951635482e-08,4.522244600849725e-07,2.1259609966774587e-07,2.1454520500624223e-07,3.7659619059699414e-07,3.3265591857318003e-07,1.09079290680169e-08,5.012286107938754e-07,1.1914434098269937e-07,2.9674320713215835e-07,1.3451769664943378e-05,7.768546380893675e-11,1.6850954915767184e-09,6.924058342137361e-08,1.3685844682496702e-07,9.340980692185958e-08,1.866543143958761e-09,3.100962011951224e-09,5.472438480614463e-09,1.0718272043638661e-09,3.1254658990805014e-09,1.771746332898861e-08,1.7257473771519703e-06,4.794713147482112e-09,1.0508624855736903e-06,1.1434412934544011e-07,1.2988245779149218e-08,8.362142043357809e-07,2.4352577180138604e-06,4.142231939881071e-06,1.511376257902769e-06,8.845885894686305e-08,3.705996384927946e-08,1.972709892040237e-07,1.807545957802966e-08,4.393324294698664e-09,1.625911182112271e-07,7.230956414137217e-12,7.398668916806855e-10,2.68189514376743e-10,4.517236841053724e-10,1.2015199383180235e-09,5.3857807623209904e-08,3.510018176004995e-07,1.02892374329529e-08,2.5260829529262467e-09,4.819792512919914e-10,5.358987591832268e-09,6.038539544827948e-10,8.021700816161707e-11,1.7246038732769645e-08,1.4889841050450323e-09,1.2427217927195795e-06,1.1486281200027368e-08,6.472620378939149e-07,3.10651078536872e-08,7.3039589388777995e-09,2.859493098361232e-10,1.9134554480640116e-07,5.1965559704432395e-09,9.632449973245336e-12,6.722525875691136e-07,1.411629168085725e-09,6.32973089747161e-08,1.6538230188393837e-10,1.6635945261808639e-07,2.5121644619644366e-11,1.5832993966384402e-06,7.392707367640055e-11,6.67418568998052e-08,1.6506142812340296e-06,7.0486355089656305e-06,4.9261784464406275e-11,7.909991566565196e-09,1.418132254702915e-07,2.710337984485415e-08,2.918418862404887e-09,9.921376965898869e-10,1.7282269330238629e-09,9.36696565685703e-08,1.5185427209453602e-09,1.977926371616435e-06
