Genes,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Median_p_values
Atp6v1h,2.3179339262591524e-07,3.1287675152634133e-06,1.792245518820429e-06,1.749089715681219e-09,7.556574539181233e-06,1.0341479877989379e-09,7.973777043357558e-08,7.52433043810085e-09,4.870111946534693e-07,3.472320146503945e-08,8.484696675535758e-09,4.980625836847674e-09,6.044442772174778e-07,2.73618146087453e-08,2.8159414970386177e-08,4.55057611255148e-07,7.53476479355439e-05,5.935104465528943e-09,1.1007720661687181e-07,1.7352404567891905e-07,2.240296007892131e-08,0.00032669393804675027,1.1767558972033784e-09,7.980682772726764e-07,3.1581994079181483e-09,2.6612514811383397e-08,6.249883278148565e-06,2.754678182867061e-09,3.2816163471669285e-09,1.1776229384318927e-07,2.5615096101394247e-08,8.280069646162478e-10,4.538294703511312e-08,1.1798935683885167e-06,7.122400939839953e-08,5.402148468918051e-07,1.2874050494768145e-07,6.510130225610206e-08,5.6612103387583825e-09,3.801006670875065e-06,1.4446844690216048e-05,6.593341544413074e-07,4.60661357272255e-06,2.9952045867762513e-07,6.585016330979416e-07,2.679837674252745e-10,1.0075833959402874e-08,1.6176844313410059e-06,1.2433588669684211e-06,9.156629324567895e-06,7.199193719689728e-07,4.409954490611831e-07,9.902775977268805e-07,1.270438887702043e-07,7.250309891805808e-08,7.285549173936826e-07,2.757794304301243e-07,4.0648984984180306e-09,1.032501703225124e-09,1.2051518697772462e-06,1.0483999149332841e-09,5.703880486290309e-09,1.4095301841158803e-08,1.968691066355615e-10,1.2634824004861197e-07,4.536435434738249e-06,4.874961756045556e-07,2.131878586905518e-06,5.8201101156928956e-08,5.0931197555088655e-09,1.2212844721771278e-06,1.914431724776704e-06,1.4165948225242837e-08,7.430833707045106e-07,1.9740179127333477e-07,2.432625930702657e-06,5.160060301064337e-08,2.2111503275259617e-05,1.7402362900590551e-07,3.7458206613476326e-09,1.3105418311121093e-06,4.562627394240379e-07,2.6231518847773552e-09,3.5357120722712153e-11,5.486557764263431e-07,2.981527770235233e-06,7.386323466649617e-08,5.5136804878836764e-09,2.4963652635167707e-07,7.208847187921543e-07,3.371239386046443e-05,3.577151295852659e-08,1.3292098522347935e-07,3.7461463140862975e-06,1.9294839463859783e-09,1.6990340969780033e-06,2.69277967327833e-06,1.825048323863029e-07,5.4484178071963486e-08,3.353514532069931e-06,1.7377383734241227e-07
Vcpip1,1.5509272323852182e-06,1.0688372674101344e-07,2.0725225015437268e-05,1.3068583342386043e-06,2.2401470307155194e-05,1.7944262665213767e-05,1.0423239387035198e-07,0.006060388275572883,9.180376612163311e-05,2.1505190518785134e-05,0.00020271053551491406,6.174615116119563e-07,4.052510450022523e-07,1.514579930260552e-06,6.546961851207286e-05,5.7249508069848576e-05,5.070657725619547e-05,4.826842920626312e-07,3.317652510901859e-05,1.150915585736686e-06,5.480284397086936e-06,3.178214075875225e-07,1.9772566779406707e-07,1.12928604413906e-07,5.461417745189482e-06,3.0570663137900496e-07,9.809760886759233e-07,3.904871924062433e-07,9.096117143095054e-05,6.868993361626415e-07,1.9720596752507227e-06,3.083372484653446e-12,1.4791460235640874e-05,3.064750866287272e-06,1.36773855865398e-05,1.0298304407512857e-05,6.528702217031482e-05,3.2946017974295857e-06,1.8924820567656535e-08,1.3589949158316674e-05,3.2707132691392243e-06,1.195841620527374e-06,1.085531343857573e-05,8.682773326666158e-05,8.781187334363059e-07,3.0052338584824074e-05,2.0180196009132492e-05,6.462291158298611e-08,1.5744311194953497e-07,6.319454291644999e-07,1.0571070188299651e-07,1.2396900323780253e-06,7.6366852565963e-07,5.024514740924874e-06,1.1257777101861748e-06,1.1199625347786647e-07,1.2810846061536122e-05,0.0003435517601755817,2.5237985966059507e-07,6.112113717581234e-06,2.279527677493956e-07,1.4654098089340233e-05,5.447131540113696e-07,4.4326569563172974e-07,1.5451578074782481e-06,2.54341434110517e-06,8.85924245451734e-06,1.0145486398985322e-05,2.743689161006988e-05,3.462643260190524e-06,0.00013341401115124217,5.067795453003675e-06,3.575181551465996e-08,6.847910885481558e-06,1.160570287973299e-05,5.695388714416021e-07,1.0394392901879295e-08,2.3562178847907857e-05,5.824531257434237e-05,3.066470816501393e-05,3.674436918504446e-08,9.4596641866088e-06,4.648977983987242e-05,5.648432789446412e-06,2.0185414602821022e-05,6.031945389525277e-08,1.9184869579893847e-08,4.428676578843441e-06,9.177999238923397e-08,8.137138856850559e-07,7.548933131822227e-05,1.0076004777897384e-05,6.015889783707838e-05,7.89191202146642e-06,9.028405374913235e-07,1.5590978025882295e-05,6.313599749021455e-08,9.286819924742684e-09,7.057914385994816e-06,2.397292649489327e-05,3.9456599195169825e-06
Cops5,3.226942335001855e-08,4.390398556554493e-06,1.071264723257816e-06,1.136076587665278e-09,5.520210879718245e-07,8.969489928101524e-07,1.2663344517078773e-06,1.393720061353672e-07,2.301373839173833e-08,0.0002664327990060919,6.845555912318237e-06,2.616779723108001e-06,1.7161525320018795e-05,1.3151318095207092e-10,5.739496216332461e-10,8.636860999847545e-07,4.3110287999035705e-08,0.00017175900649726083,2.213595299410341e-06,1.5766436380386427e-06,6.80571169346703e-08,6.979889698541179e-06,1.6636175640338573e-12,4.7401988651885963e-07,2.898289254312104e-07,7.631803382361905e-07,2.4759494138500717e-07,4.419565101075797e-08,9.220575405682284e-10,0.0001896538938048421,8.963516709117276e-09,1.0918030560439542e-06,1.9820289237804954e-06,1.0347105176099307e-07,1.2000889989667555e-08,1.0429714801572505e-07,6.489797393844983e-05,8.871599767199345e-06,3.452310469528139e-10,5.251719588239953e-06,1.359308788696302e-07,2.8926723018946862e-06,3.350141538688329e-09,2.3994044216133384e-06,1.0871774482910264e-07,4.892522637957083e-08,7.659968807701363e-08,2.9471062311416948e-05,1.4141808649245002e-06,9.833453932342683e-07,3.722169349747049e-08,1.3464628912236366e-05,2.6412970442081805e-07,8.46759943265069e-05,1.172273324887676e-05,6.312607992158452e-06,3.4674029989324904e-07,1.139875675653783e-06,1.4278781953571634e-07,1.2825114883327816e-05,1.4807423299933264e-08,7.0228827992874644e-06,3.338483121803706e-08,1.1910183856717215e-06,0.00014251676615334024,3.3582176746625316e-05,1.9587134891621048e-07,3.522570460171396e-07,8.503752808847979e-09,3.0042079549504244e-07,4.9651850113687325e-08,1.078538487706271e-08,2.4091376796154492e-05,4.779586867469224e-07,7.29618845240437e-05,6.712434075080232e-06,1.223302858623251e-08,2.378858601618672e-07,5.0927829818024906e-09,5.4050231710474694e-08,8.746915630021018e-09,5.129135307128651e-07,0.00015501844571074773,2.9654487427885863e-07,2.1243985378475687e-06,1.8060313860447114e-06,9.975478286481652e-09,2.394700294448367e-07,5.046094557949699e-06,8.119836039863313e-10,5.139698737646062e-10,7.194408604054605e-09,1.4285114383419831e-05,9.267526528513058e-06,3.3558358892983304e-08,7.345947112116733e-09,7.600944930197846e-07,9.743800611094345e-06,3.088708915868732e-07,4.722082693176725e-06,4.75989286632891e-07
Arfgef1,4.376528705128215e-06,3.0617507385281317e-06,9.96021437076188e-06,0.0008215724960034602,1.7927247526192954e-06,8.423041484521426e-08,1.3023066095214719e-05,5.731353169540094e-06,3.6300554397745456e-06,5.7151786509724435e-08,4.324174996069863e-06,4.734025899056292e-06,9.616425776702136e-06,3.472716992303257e-09,4.597732198250828e-07,9.22151602487243e-09,6.949656246483595e-08,6.020893198313806e-07,8.287675837305145e-09,4.159895203161692e-05,1.445141491231441e-06,6.392655766873388e-10,8.702547687300546e-08,1.211401357500348e-07,9.180239816214751e-10,8.132339220290297e-05,4.415237554202142e-08,3.033781420593629e-07,8.049893842484702e-06,2.8928964469126623e-07,4.333503741484247e-06,2.138548829622289e-09,5.903732613109068e-07,6.564027303975232e-06,1.7941284929068356e-05,1.4139657920359044e-08,4.683637816631662e-08,6.612641099587737e-05,1.718636111083026e-08,1.8514077450468402e-07,8.577955792707609e-08,2.985977553255681e-05,2.833936593839403e-07,4.666108639070931e-08,4.544560813093091e-06,3.319705263170085e-08,4.6821542868841815e-06,9.143383118393476e-10,1.1584214756183772e-07,4.200945459442991e-07,4.834795802446617e-07,8.497597376364414e-08,1.2050425055681744e-05,1.4842854222447667e-06,1.8429082407689392e-05,5.4972740450019056e-05,9.856485464322869e-08,4.780586120792429e-07,1.3776549617160235e-09,5.348611206825876e-05,1.1964715684059338e-07,9.424834147408069e-08,4.4855539494756073e-07,3.406303832500505e-07,3.88257444811172e-07,3.247588441153794e-05,2.5860613726069877e-07,2.3441656581793107e-05,1.5196371361940016e-07,4.5242245583886485e-06,1.4150554916907825e-06,1.1000734479541566e-07,3.528263350201452e-06,2.9010931573723753e-06,7.883520494595662e-10,0.00018490564504618521,7.295448608138007e-07,1.4194868779781755e-07,7.901519812347259e-07,6.119766495578083e-07,3.8711248871286056e-08,1.5819597277621463e-08,6.985407831778589e-09,4.5680555168149815e-08,2.885576564624935e-06,9.742730311784948e-05,6.214206829395147e-06,8.48536640522288e-06,4.0352925515031525e-08,7.911994870887723e-08,3.971901323342037e-06,9.83076038294094e-07,7.843707128993689e-08,4.7279006967361965e-07,3.101323656831173e-08,1.583786544864751e-06,1.0106130138578228e-08,4.047518339735988e-09,2.3749041971217564e-07,1.908274409540341e-07,4.5416430738632177e-07
Rpl7,2.1965313054952026e-06,8.238019814995795e-07,1.4738695395210455e-06,2.2692848307509104e-07,2.212983659354626e-06,4.976704751893352e-08,7.277622565544373e-08,1.554296683254738e-05,8.075586594656564e-05,8.774494508249092e-07,4.736543527981087e-07,1.0234380748755097e-07,2.744893185401958e-10,3.844466646065839e-06,1.2017038611162646e-06,1.5795832851740438e-06,0.00047616251346700446,2.1864622137001123e-08,7.969276672581698e-07,6.056120468847534e-07,3.163543962153722e-09,1.8040089627169381e-06,0.00476999523248054,1.0015727884349171e-09,0.0003538300355395361,1.6595723622767196e-06,2.344505170103478e-07,1.3643897413993616e-08,4.081547663294505e-06,9.150070177893683e-08,1.392806841847559e-06,2.120502509877418e-06,0.00014056889423129845,2.203320224346924e-06,4.29601339826835e-08,7.504520669787085e-06,3.631627000666238e-05,3.7739879052210016e-08,1.0114098980817709e-07,1.8919921036102526e-07,1.4617451685776397e-05,4.7734163023161384e-05,2.9372954928441297e-08,5.945212906297364e-05,1.0656574342151036e-06,3.347624807122217e-07,9.228366790713074e-11,1.3453399085023786e-09,5.459404972901194e-07,8.97601667769302e-12,1.785255605861655e-06,1.550482684939994e-07,4.493029323444142e-05,6.067367752464419e-05,5.712126053046373e-07,1.208636405206248e-06,3.4193203483302104e-06,6.0633263347232774e-05,1.846398188365274e-06,3.051577543726372e-06,2.2560339347721206e-08,1.8845951460529862e-06,9.278961239284709e-08,2.9946532795060005e-06,2.566037850210382e-09,7.529609604086753e-07,8.70025395024751e-07,1.7666569239523978e-07,1.7632007995428745e-05,0.0004033260286815626,3.8200168426968985e-08,6.9033635565782035e-06,1.2475883477757806e-06,7.82419790607226e-10,6.642419680440186e-06,7.260422210158972e-06,1.7783201732575565e-06,1.3393023294479557e-08,8.112815129355318e-06,2.4316845419351482e-08,1.7531186268467115e-06,2.534283461521759e-09,4.893592246422198e-07,7.169788479594985e-05,2.340519453603109e-07,9.950464773799042e-09,4.0132529500294986e-08,2.2320310030960173e-08,7.092178804662377e-10,1.892329516077477e-06,1.4701513485939672e-08,3.8972718738841627e-07,8.386437411014824e-06,3.4761549661178734e-07,9.152933823201637e-06,1.9386172653806747e-08,3.022640281581196e-08,3.376140398513815e-06,2.115454719501243e-06,0.0004426559488393019,9.715534425200063e-07
Tceb1,2.285097774172307e-06,6.768746857929616e-06,9.193733310261887e-06,5.704586021750056e-07,3.442482448586602e-07,6.854234018649034e-08,3.028768422425897e-07,1.3305775816043607e-06,4.37030347731013e-06,5.796450589963404e-07,2.2111689345300655e-07,4.2916155164560303e-07,1.7243113241581826e-05,3.067487231091782e-05,2.1180613586073963e-07,2.0663218778428552e-07,4.842990491270427e-06,5.497204343418532e-05,2.2238512382897547e-06,2.7176674747603464e-07,0.00025667741503943145,2.732891975899296e-06,3.117276610603066e-09,2.00288888110889e-05,3.4558528059632552e-06,2.0572473429660367e-08,4.67313310347228e-05,4.610516010399e-05,1.1396347060952939e-07,3.4529184271764523e-06,4.16182092867666e-11,9.879994856041511e-08,1.8308149812732344e-05,4.103494405417928e-08,0.00024053908132844575,1.7715346840831906e-05,1.3291426989172616e-07,1.2991757012418239e-05,5.77831364520396e-09,2.3237894170204373e-09,3.520410075706908e-07,7.653515522830138e-08,5.975262646465338e-06,8.128415827925083e-07,4.678063181602601e-06,5.944998575917275e-09,3.3974873355486434e-08,2.061924070282539e-08,4.811705762072666e-09,1.0309047579303137e-08,3.9849474707142317e-07,4.2644443392620654e-06,0.00011243240536823111,4.029210375494334e-06,6.082002294023675e-07,1.0832779441794802e-05,1.3069971503692807e-07,1.4594316960258859e-07,0.0003026627646129612,2.7177461224524087e-07,1.4131594910599698e-05,9.279719465775793e-06,5.672956810862958e-07,1.742414421884912e-05,2.637164128699449e-05,2.8620670512039318e-06,2.5749828599441407e-06,5.2564201211119026e-08,2.3675233906565713e-05,3.8509041715347903e-07,1.4427174711025337e-06,2.9846247040456996e-06,1.7105321670698294e-05,2.071226445159201e-05,8.89090869501618e-07,1.9897127394003865e-07,3.047757175994697e-08,2.2894319493293387e-07,2.1404077774836135e-07,7.752969843936153e-06,8.635698366904743e-07,9.745813246155504e-10,7.707475060687216e-06,6.488820452636292e-05,1.1496476259262468e-07,3.319511124021888e-05,4.823740396002879e-05,1.4022253346434083e-08,8.154172562840657e-09,1.116667145557327e-06,1.1282590970844485e-05,5.623904118395353e-07,0.0010234278830293245,2.8529240065284845e-05,1.1987361379195686e-06,4.6570690089049843e-07,1.5954531606975127e-06,1.2852778710789362e-06,6.763436588824835e-09,1.2243378083545292e-06,1.211536973137049e-06
Lmbrd1,2.8843012178056704e-06,0.0002000494945912838,6.733515322902633e-08,1.386147825228496e-06,5.038458222044019e-07,1.487009216372703e-06,6.627484374522935e-07,4.428806041958723e-06,8.615960333630448e-06,0.00045279302737638295,3.831700361120496e-05,4.506560955257773e-06,8.879752091590835e-07,0.00011913553410090247,3.78183456651251e-05,3.2233127023754044e-07,1.611434745796337e-08,2.501654199244973e-07,9.862964350129144e-08,8.709654052190237e-10,1.817965616130079e-09,8.614173562406476e-07,7.644033155456447e-08,0.00023803776094886048,0.0003881784098249949,2.3158700697941218e-08,6.7274492917853735e-06,6.000614967156556e-07,0.0014761305154878356,3.2240119881157007e-06,3.625227965703673e-08,1.2004551385813437e-05,5.920164211693899e-08,6.946398058829084e-06,1.2204293225165574e-06,0.00014514558319268493,4.21282919270883e-08,4.263088806253646e-07,4.51954419850099e-05,1.7192007610411462e-07,5.1694640470973826e-05,8.565898659879229e-05,4.703126998362084e-07,1.9078792896358701e-07,3.64588863520021e-06,4.494463767198711e-08,0.0002779104292229801,2.926301036789554e-07,4.349168043364072e-06,2.706958075126384e-07,1.1343553713583929e-05,9.608952414227086e-08,1.7567178235349714e-05,2.5757068500776958e-08,9.7048966448934e-05,2.2024252759643941e-07,1.18250069492712e-06,6.231912496484231e-07,0.00010196849931534354,2.6561614096209412e-05,0.00012095226171908189,8.548572887505107e-07,2.344614363206822e-07,1.6284107894592317e-05,1.3515789495237498e-06,0.00039705229173172337,2.1433074877029353e-06,1.9788526697860284e-10,2.5643533857367884e-05,7.249437119747037e-06,0.00026616498460473633,2.962812739740483e-07,0.0001624646202285571,3.6721017730093484e-07,2.2001888312647776e-05,1.417820559038749e-06,2.8297893009465817e-05,4.9343630112308575e-05,5.969535158453737e-07,0.00010866858506475346,6.166059881545108e-05,1.4985665893676101e-06,9.28569862792302e-05,1.2564978203022548e-08,2.5112406782816656e-05,1.2383912770496195e-06,4.887327366884237e-05,4.485223446046794e-07,7.47519279589467e-05,1.9827555191262506e-05,1.6125529732518732e-08,5.499761307187874e-06,2.3177994252720555e-05,2.0506963112703092e-10,5.857409324442993e-05,1.540345960353606e-07,0.00128603270555482,6.86236269991435e-05,2.484498227334955e-06,2.402599531030995e-05,3.0541566029606855e-06
Imp4,6.089805825111311e-06,8.121373519280892e-07,4.097132686076521e-07,8.663354278883999e-06,8.908712517385638e-06,1.5634409994338813e-06,6.144132374672938e-07,4.372659140067257e-07,1.1110665689917571e-07,9.653824365489481e-08,3.9657018419679475e-07,9.772271600151738e-09,4.444087727356804e-08,1.9403270911788118e-07,3.004865981775779e-09,0.00011012932543903831,1.8100919737892077e-09,1.1563223144381124e-08,2.2351710583170924e-05,2.4581241044924025e-05,3.7461338619900694e-07,1.0721691432693552e-05,1.8393457764273466e-08,1.1641489078828082e-08,7.754089136403922e-06,2.6809847076635693e-05,1.8457769456709044e-06,2.1939999137541878e-05,6.733816357794174e-08,6.147403478710551e-06,0.0005650171816388481,2.5327447047789727e-05,1.1495693833299693e-06,2.2998436843485188e-07,2.9771432683929756e-09,2.6840090171116224e-05,8.836315534797055e-07,6.00935510516632e-08,2.1337062465725547e-05,1.552322574832004e-08,2.8741087335298006e-09,1.0070766979571632e-05,1.859163873963057e-08,4.394968335312546e-05,1.409109802422383e-06,2.0889102787512164e-06,6.062013663982809e-06,9.97227303708841e-06,3.6575004884622185e-06,4.401999843905196e-07,2.1239044969733945e-06,7.888912210356503e-05,7.211259558813228e-06,2.484419950569073e-07,8.799844905573668e-08,1.172078414568391e-06,3.4770509754445524e-06,5.685997615609419e-09,2.6872639201210986e-07,2.4621037598566256e-05,2.0961097889032554e-05,6.041812320056272e-07,1.1879861287201156e-06,9.379290987985034e-08,3.007995779092593e-07,2.9096010143677884e-05,7.82787424061839e-07,5.7192752844097265e-08,7.65644942225219e-06,2.943114090056162e-06,1.4981312593616514e-06,8.837718612700455e-07,1.2143545812448847e-05,2.892928168432278e-06,7.011274719084096e-06,3.1928224103049547e-06,1.0624077928542038e-09,2.831430195239779e-08,2.6671539791833454e-05,2.5348838260968435e-07,0.00011686588431211429,2.8999954916125507e-05,4.3934843654350527e-07,5.6593807736839604e-08,0.0002121484288353253,4.907960905467275e-06,2.5542628125545076e-06,5.223725783965303e-06,1.1836671784954387e-05,0.00010718490874234568,3.4288612582101266e-06,2.7103718783083374e-08,5.382105033474258e-05,2.4405988730961017e-07,3.5996262207317606e-07,4.8687439929005985e-06,4.6022877402783725e-07,4.081745110339116e-07,2.8580011050130575e-05,2.474551186757916e-09,1.4536205308920173e-06
Fam168b,2.0535529842613908e-08,2.3134105238294582e-08,2.436532928471852e-07,1.1302135396244823e-08,3.7259468225741647e-06,5.311501954429691e-07,2.9251945692876315e-05,1.3708670278156756e-07,7.264642038310542e-05,7.695291864466292e-07,1.0642318667214484e-10,3.1414553551622024e-06,4.0076646995414943e-07,3.7787062227160743e-07,5.451143101594234e-06,0.00015634350236701109,7.128892908219181e-05,0.00017866680448809082,3.5327241192935095e-09,2.7763414995552325e-06,1.872692463947342e-07,4.1716487405029286e-06,4.357930935969999e-07,6.09346416275356e-06,4.021127818925018e-05,1.288774854696859e-08,1.1270914615455369e-06,1.0334205176069148e-07,1.5748944688153806e-06,3.2994449300977374e-05,4.345811391983613e-06,2.0285320066182195e-07,2.5382102049768645e-05,0.0015928102871809963,3.086969422615187e-06,0.003483421979952695,4.962224928156213e-05,7.714284870267814e-06,8.474677113175026e-05,6.89962823299277e-06,8.161017145666336e-06,1.4086691670725847e-05,0.00026275755913721837,0.00045883767556248266,0.003266341230148136,1.5243234663183024e-06,7.040351620683721e-10,3.7232577782116087e-06,2.6638329610677945e-08,3.86417311023778e-05,4.6021325568209744e-07,5.857608948051105e-07,2.766608162462566e-06,1.4156094858427165e-06,4.686759885625001e-07,1.7296356311346172e-07,0.0004206124156904913,5.710055838719575e-07,4.06017120009225e-06,5.9582279388941974e-05,0.0005614223358677275,1.8850008910551348e-05,5.499266215507508e-06,0.00010559144502440345,0.0013222042916744188,8.286547223220289e-05,1.2256643201027164e-06,3.8145524700400646e-07,0.0002907234593388228,1.5492595715418488e-10,3.1877554304268175e-06,0.0008178964953869654,8.633892725196065e-06,3.3939130892581436e-05,6.090527434848669e-07,1.691705593374027e-06,0.0002283058450942235,1.6946311463848306e-07,5.2875042825864775e-08,5.415238573969125e-06,9.025607479268365e-08,1.8061290865885334e-05,4.254460018526168e-07,1.9331942684593273e-05,3.047949372570656e-07,4.655963330711791e-08,1.7918157525762667e-05,1.1390590370405234e-05,4.1747530253700635e-07,4.008831872980291e-06,1.8559882128855435e-05,4.168962057715002e-06,1.5286445252287742e-06,2.0175939704266959e-10,8.96613780129913e-06,5.836573135579995e-06,1.8617023984755823e-05,6.855179716895598e-05,9.416544486548996e-05,3.7950784450342863e-07,4.034501536536271e-06
Uggt1,0.0003023008663835989,6.476953811324294e-07,7.846951398342762e-06,4.951324582278071e-06,2.2473175846127497e-08,6.271819783809382e-07,1.83649520811995e-05,1.2770792910265335e-05,6.7449673068141355e-06,2.409901455124685e-06,5.4679091545894654e-05,0.00025315131210549836,0.00012242262375654375,9.338319720451004e-08,5.35467563014523e-05,0.0009306056809265928,5.289283248742685e-05,6.859283833719077e-09,7.892586313280678e-06,5.098763077246477e-07,8.99872214522804e-07,0.00013476571257480522,3.2903864022698527e-06,5.787207115131829e-06,4.3966392266116545e-06,3.335099104482407e-05,2.554333643766054e-06,7.88950782563873e-07,6.3108384165308874e-06,5.63334685295132e-06,3.7438681777703e-08,3.990071194973544e-05,5.641313855420722e-08,2.1507867482851043e-07,0.00829744985322825,5.733331884158513e-07,9.495784288475857e-08,4.248334531506399e-08,3.278731058866343e-07,1.191742428450941e-06,8.869682621234114e-07,3.2050045671444585e-06,8.612018512324542e-06,2.1244219234389506e-08,0.00017572561912100758,0.0003218557180164406,0.0015565747644196142,3.719227438811791e-06,0.00022429884627113325,0.00010349894473169129,1.2339448842733472e-08,3.034409609908894e-06,0.00023642846433302172,4.220006393816945e-05,4.05291635776026e-08,1.7082080066468117e-08,1.459613715050746e-05,3.484465484835694e-05,1.4355851787758494e-06,1.6887566259048094e-06,1.2526751168627895e-08,8.42025250452594e-06,0.0006855295781159835,0.0007176649706820765,3.2642680843434347e-07,2.6409096500710693e-05,0.0003955812911114397,4.256836058995e-06,8.971302782276694e-07,1.4569990044843675e-06,0.00058082889282093,1.2466589432520976e-08,9.123742745252306e-06,4.739604562398111e-05,6.140234366192963e-08,1.1926021457203568e-05,3.292368400008805e-05,2.3762150099852314e-06,2.0088526558362252e-05,1.5628599110414504e-05,1.4064813575559258e-07,4.206056372145916e-05,6.239807283268299e-07,8.042427783074585e-05,1.1119795732541194e-05,8.133326751099082e-07,3.6211440392199903e-06,2.405357641195431e-05,7.138000840992371e-08,8.961543741040384e-06,6.696755056103748e-06,7.900193034080531e-05,1.9458758683828415e-06,2.2420297452287537e-07,4.1775873112528047e-07,2.484577001086199e-07,4.0580669041000044e-07,4.331342296105962e-05,4.503081564715625e-09,8.364407975546229e-05,5.292335717614695e-06
