"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"B2m",6.11638275104543e-13,-0.415433892599562,0.982,0.986,8.46262717434646e-09
"Hspb1",3.76584022922064e-12,0.5777181613282,0.869,0.58,5.21041654114968e-08
"Hsp90ab1",8.59596856240072e-12,0.47553064655227,0.904,0.732,1.18933821029376e-07
"Serpinh1",1.15943863605776e-09,0.653913320418666,0.667,0.413,1.60419929684952e-05
"Sparc",1.40261835226823e-07,0.365286454111,0.935,0.746,0.00194066275219833
"Cdkn1c",1.40687976314617e-07,0.689099741495421,0.577,0.348,0.00194655884028905
"H2-D1",2.14055873702936e-07,-0.261268620989681,0.975,0.978,0.00296167706855383
"Hspa8",2.61582916468832e-07,0.342750284641324,0.861,0.667,0.00361926123226276
"Fam101b",2.74590546362779e-07,0.490874816085134,0.47,0.203,0.00379923479947541
"Rps28",9.2436419939422e-07,-0.425581977476411,0.84,0.855,0.0127895030628184
"Cct7",9.33745483534088e-07,0.558440023718278,0.329,0.101,0.0129193025101776
"Rps27rt",1.08297562753748e-06,-0.364132703304089,0.712,0.804,0.0149840507826086
"Stip1",1.23335527057192e-06,0.741080279637727,0.164,0.007,0.017064703523633
"H2-K1",1.84430400353539e-06,-0.394264286442604,0.826,0.855,0.0255177901929157
"Rpl13a",4.76656052661829e-06,-0.29185365369211,0.92,0.92,0.0659501314462907
"St13",4.89965475408218e-06,0.507363034857798,0.346,0.13,0.0677916231774811
"Rps29",5.80172662035095e-06,-0.270115607646215,0.978,0.993,0.0802726895191758
"Rps20",5.96316320593242e-06,-0.378605068628458,0.753,0.804,0.0825063261172809
"S100a6",7.24308250579692e-06,-0.733620060933874,0.196,0.348,0.100215289550206
"Rps4x",7.52827504438386e-06,-0.342461569132496,0.828,0.884,0.104161213514095
"Rsrp1",7.60037679799779e-06,0.407667201314527,0.63,0.391,0.105158813377097
"H2-Q7",1.14258007862194e-05,-0.697584965798962,0.231,0.377,0.158087379678132
"Gas6",1.73259442268056e-05,0.499711195367039,0.489,0.275,0.239721764322082
"Nudcd3",2.26357502830681e-05,0.562091598220573,0.219,0.058,0.31318824091653
"Ptges3",2.78860167125023e-05,0.566386073328383,0.237,0.072,0.385830927234182
"Dynll1",3.08030585911587e-05,0.350132255061087,0.761,0.551,0.426191118667271
"Dnaja1",3.17126371062849e-05,0.306395258537655,0.517,0.29,0.438776047002558
"Edn1",3.32255453800598e-05,-0.524194747902734,0.053,0.159,0.459708645878507
"Timp4",4.73870116212264e-05,0.616125298607071,0.387,0.21,0.655646692791289
"Igfbp7",5.75209844622041e-05,0.264307094149806,0.973,0.913,0.795860341019056
"Dusp1",8.00174658193397e-05,0.412455672539458,0.724,0.58,1
"Manf",9.16490153921886e-05,0.4379238218379,0.299,0.123,1
"Pmvk",9.92304783571824e-05,-0.533275102303214,0.035,0.116,1
"Rplp1",0.000120857736981258,-0.30786829530973,0.898,0.891,1
"0610012G03Rik",0.000177218908122422,-0.565173304926674,0.16,0.283,1
"Hspe1",0.000186010359109693,0.56303804752743,0.227,0.087,1
"Irf7",0.000207569973031667,-0.528071178032369,0.088,0.196,1
"S100a13",0.000228118090123816,0.327911241833436,0.624,0.471,1
"Sox18",0.000235644908334334,-0.549320387879247,0.409,0.529,1
"PISD",0.000240776734239071,-0.560110446556479,0.096,0.203,1
"Timm13",0.000241913341989307,0.445713555227879,0.264,0.109,1
"Rps24",0.00025175690944377,-0.256411195596187,0.777,0.826,1
"Rps23",0.000324765193066978,-0.257805303302526,0.914,0.935,1
"Eno1",0.000407987112444374,0.409698203555024,0.245,0.101,1
"Anxa2",0.000420897161212237,-0.418764739507422,0.485,0.58,1
"Fkbp4",0.000467240897724142,0.408665720763562,0.321,0.159,1
"Cept1",0.000475941559649735,0.386101882416879,0.256,0.109,1
"Nfu1",0.000572862662602714,0.476855615098066,0.145,0.036,1
"Igfbp3",0.000575348901064523,0.380689800093196,0.342,0.181,1
"Rac1",0.000578055375134247,0.321858439924917,0.577,0.391,1
"Klf9",0.000601763440327422,0.41624805024267,0.333,0.181,1
"Klf13",0.000604379024999533,0.389444733794609,0.491,0.319,1
"Fmo2",0.000605817599982235,-0.458045188550879,0.074,0.167,1
"Mbnl2",0.000658250384926556,0.292607516683685,0.372,0.196,1
"Plxna2",0.00071972346749657,0.450433988792574,0.131,0.029,1
"Ptma",0.00074595157836204,-0.264069443785584,0.922,0.92,1
"Zfp706",0.00079371760601189,0.379792310881903,0.276,0.123,1
"Hspd1",0.000815538048753617,0.429120755860742,0.188,0.065,1
"H2-Q6",0.000856644887417037,-0.52687944664469,0.131,0.232,1
"Pak1ip1",0.000988937519530783,0.461590459361744,0.188,0.072,1
"Atp6v1f",0.000992010072074041,0.288502349310479,0.329,0.167,1
"Hspa1a",0.00101572212206994,0.38287508795846,0.407,0.239,1
"Ppic",0.00110188995717008,0.397857873635977,0.247,0.116,1
"Ppp2r5a",0.00111965919034011,0.41624938559196,0.174,0.058,1
"Taf6l",0.00115025048252135,0.404980778317307,0.137,0.036,1
"Rasip1",0.00115598363240643,0.295095357166401,0.558,0.391,1
"Nrarp",0.00124337285952825,0.477014661387089,0.29,0.159,1
"Sypl",0.00124839383000049,0.31349228850987,0.499,0.319,1
"Psmd7",0.00137013606456004,0.373095775446123,0.26,0.123,1
"Klra9",0.00139075154312327,-0.338637074665534,0.039,0.109,1
"Tuba1a",0.00144276870789822,0.270602723581164,0.532,0.355,1
"Npm1",0.00145880966045652,0.330880908312463,0.37,0.217,1
"Ptprm",0.00162161013078756,0.454265715095218,0.131,0.036,1
"Yipf3",0.00167082510109579,0.428282094885172,0.174,0.065,1
"Rpl11",0.00171854697579466,-0.26706717492308,0.796,0.775,1
"Dbi",0.00188186070838418,0.396842535533136,0.303,0.167,1
"Mrps36",0.00195520880886604,0.423876565054604,0.119,0.029,1
"Kcna5",0.00200632369773804,0.380991163367151,0.27,0.138,1
"Eif3b",0.00215379982994817,0.378300809560614,0.182,0.072,1
"Cox20",0.0021989451282207,0.374675640169044,0.149,0.051,1
"Atf6b",0.00222377484072754,0.387860396936443,0.129,0.036,1
