"","nGene","nUMI","orig.ident","percent.mito","CellType","res.0.6","Batch","Jun_Status"
"Cell_1",878,1364,"Cell",0,"Young","7","Batch1","Low"
"Cell_2",984,2077,"Cell",0,"Young","6","Batch1","Low"
"Cell_3",2279,5419,"Cell",0,"Young","6","Batch1","Low"
"Cell_4",964,1542,"Cell",0,"Young","0","Batch1","High"
"Cell_5",1348,2608,"Cell",0,"Young","6","Batch1","Low"
"Cell_6",775,1173,"Cell",0,"Young","2","Batch1","Low"
"Cell_7",1516,2762,"Cell",0,"Young","7","Batch1","Low"
"Cell_8",1401,2969,"Cell",0,"Young","0","Batch1","High"
"Cell_9",861,1323,"Cell",0,"Young","2","Batch1","Low"
"Cell_10",1130,1970,"Cell",0,"Young","7","Batch1","Low"
"Cell_11",799,1194,"Cell",0,"Young","1","Batch1","Low"
"Cell_12",1520,2979,"Cell",0,"Young","9","Batch1","Low"
"Cell_13",1109,2154,"Cell",0,"Young","2","Batch1","Low"
"Cell_14",1073,1840,"Cell",0,"Young","1","Batch1","Low"
"Cell_15",581,974,"Cell",0,"Young","0","Batch1","High"
"Cell_16",891,1675,"Cell",0,"Young","1","Batch1","Low"
"Cell_17",1011,1686,"Cell",0,"Young","0","Batch1","High"
"Cell_18",688,1124,"Cell",0,"Young","1","Batch1","Low"
"Cell_19",882,1435,"Cell",0,"Young","0","Batch1","High"
"Cell_20",703,1061,"Cell",0,"Young","4","Batch1","Low"
"Cell_21",1030,1702,"Cell",0,"Young","2","Batch1","Low"
"Cell_22",798,1182,"Cell",0,"Young","2","Batch1","Low"
"Cell_23",1167,2100,"Cell",0,"Young","6","Batch1","Low"
"Cell_24",817,1327,"Cell",0,"Young","2","Batch1","Low"
"Cell_26",1039,1809,"Cell",0,"Young","0","Batch1","High"
"Cell_27",735,1080,"Cell",0,"Young","2","Batch1","Low"
"Cell_28",729,1206,"Cell",0,"Young","1","Batch1","Low"
"Cell_29",674,1060,"Cell",0,"Young","1","Batch1","Low"
"Cell_30",2015,4612,"Cell",0,"Young","5","Batch1","Low"
"Cell_31",964,1577,"Cell",0,"Young","0","Batch1","High"
"Cell_32",625,972,"Cell",0,"Young","1","Batch1","Low"
"Cell_33",1832,4070,"Cell",0,"Young","5","Batch1","Low"
"Cell_34",765,1209,"Cell",0,"Young","1","Batch1","Low"
"Cell_35",1226,2131,"Cell",0,"Young","3","Batch1","Low"
"Cell_36",1313,2715,"Cell",0,"Young","1","Batch1","Low"
"Cell_37",2115,4932,"Cell",0,"Young","6","Batch1","Low"
"Cell_38",1088,2100,"Cell",0,"Young","1","Batch1","Low"
"Cell_39",1070,1835,"Cell",0,"Young","1","Batch1","Low"
"Cell_40",712,1177,"Cell",0,"Young","2","Batch1","Low"
"Cell_42",1336,2521,"Cell",0,"Young","4","Batch1","Low"
"Cell_43",836,1421,"Cell",0,"Young","10","Batch1","Low"
