"","CellType"
"1","Young"
"2","Young"
"3","Young"
"4","Young"
"5","Young"
"6","Young"
"7","Young"
"8","Young"
"9","Young"
"10","Young"
"11","Young"
"12","Young"
"13","Young"
"14","Young"
"15","Young"
"16","Young"
"17","Young"
"18","Young"
"19","Young"
"20","Young"
"21","Young"
"22","Young"
"23","Young"
"24","Young"
"25","Young"
"26","Young"
"27","Young"
"28","Young"
"29","Young"
"30","Young"
"31","Young"
"32","Young"
"33","Young"
"34","Young"
"35","Young"
"36","Young"
"37","Young"
"38","Young"
"39","Young"
"40","Young"
"41","Young"
"42","Young"
"43","Young"
"44","Young"
"45","Young"
"46","Young"
"47","Young"
"48","Young"
"49","Young"
"50","Young"
"51","Young"
"52","Young"
"53","Young"
"54","Young"
"55","Young"
"56","Young"
"57","Young"
"58","Young"
"59","Young"
"60","Young"
"61","Young"
"62","Young"
"63","Young"
"64","Young"
"65","Young"
"66","Young"
"67","Young"
"68","Young"
"69","Young"
"70","Young"
"71","Young"
"72","Young"
"73","Young"
"74","Young"
"75","Young"
"76","Young"
"77","Young"
"78","Young"
"79","Young"
"80","Young"
"81","Young"
"82","Young"
"83","Young"
"84","Young"
"85","Young"
"86","Young"
"87","Young"
"88","Young"
"89","Young"
"90","Young"
"91","Young"
"92","Young"
"93","Young"
"94","Young"
"95","Young"
"96","Young"
"97","Young"
"98","Young"
"99","Young"
"100","Young"
"101","Young"
"102","Young"
"103","Young"
"104","Young"
"105","Young"
"106","Young"
"107","Young"
"108","Young"
"109","Young"
"110","Young"
"111","Young"
"112","Young"
"113","Young"
"114","Young"
"115","Young"
"116","Young"
"117","Young"
"118","Young"
"119","Young"
"120","Young"
"121","Young"
"122","Young"
"123","Young"
"124","Young"
"125","Young"
"126","Young"
"127","Young"
"128","Young"
"129","Young"
"130","Young"
"131","Young"
"132","Young"
"133","Young"
"134","Young"
"135","Young"
"136","Young"
"137","Young"
"138","Young"
"139","Young"
"140","Young"
"141","Young"
"142","Young"
"143","Young"
"144","Young"
"145","Young"
"146","Young"
"147","Young"
"148","Young"
"149","Young"
"150","Young"
"151","Young"
"152","Young"
"153","Young"
"154","Young"
"155","Young"
"156","Young"
"157","Young"
"158","Young"
"159","Young"
"160","Young"
"161","Young"
"162","Young"
"163","Young"
"164","Young"
"165","Young"
"166","Young"
"167","Young"
"168","Young"
"169","Young"
"170","Young"
"171","Young"
"172","Young"
"173","Young"
"174","Young"
"175","Young"
"176","Young"
"177","Young"
"178","Young"
"179","Young"
"180","Young"
"181","Young"
"182","Young"
"183","Young"
"184","Young"
"185","Young"
"186","Young"
"187","Young"
"188","Young"
"189","Young"
"190","Young"
"191","Young"
"192","Young"
"193","Young"
"194","Young"
"195","Young"
"196","Young"
"197","Young"
"198","Young"
"199","Young"
"200","Young"
"201","Young"
"202","Young"
"203","Young"
"204","Young"
"205","Young"
"206","Young"
"207","Young"
"208","Young"
"209","Young"
"210","Young"
"211","Young"
"212","Young"
"213","Young"
"214","Young"
"215","Young"
"216","Young"
"217","Young"
"218","Young"
"219","Young"
"220","Young"
"221","Young"
"222","Young"
"223","Young"
"224","Young"
"225","Young"
"226","Young"
"227","Young"
"228","Young"
"229","Young"
"230","Young"
"231","Young"
"232","Young"
"233","Young"
"234","Young"
"235","Young"
"236","Young"
"237","Young"
"238","Young"
"239","Young"
"240","Young"
"241","Young"
"242","Young"
"243","Young"
"244","Young"
"245","Young"
"246","Young"
"247","Young"
"248","Young"
"249","Young"
"250","Young"
"251","Young"
"252","Young"
"253","Young"
"254","Young"
"255","Young"
"256","Young"
"257","Young"
"258","Young"
"259","Young"
"260","Young"
"261","Young"
"262","Young"
"263","Young"
"264","Young"
"265","Young"
"266","Young"
"267","Young"
"268","Young"
"269","Young"
"270","Young"
"271","Young"
"272","Young"
"273","Young"
"274","Young"
"275","Young"
"276","Young"
"277","Young"
"278","Young"
"279","Young"
"280","Young"
"281","Young"
"282","Young"
"283","Young"
"284","Young"
"285","Young"
"286","Young"
"287","Young"
"288","Young"
"289","Young"
"290","Young"
"291","Young"
"292","Young"
"293","Young"
"294","Young"
"295","Young"
"296","Young"
"297","Young"
"298","Young"
"299","Young"
"300","Young"
"301","Young"
"302","Young"
"303","Young"
"304","Young"
"305","Young"
"306","Young"
"307","Young"
"308","Young"
"309","Young"
"310","Young"
"311","Young"
"312","Young"
"313","Young"
"314","Young"
"315","Young"
"316","Young"
"317","Young"
"318","Young"
"319","Young"
"320","Young"
"321","Young"
"322","Young"
"323","Young"
"324","Young"
"325","Young"
"326","Young"
"327","Young"
"328","Young"
"329","Young"
"330","Young"
"331","Young"
"332","Young"
"333","Young"
"334","Young"
"335","Young"
"336","Young"
"337","Young"
"338","Young"
"339","Young"
"340","Young"
"341","Young"
"342","Young"
"343","Young"
"344","Young"
"345","Young"
"346","Young"
"347","Young"
"348","Young"
"349","Young"
"350","Young"
"351","Young"
"352","Young"
"353","Young"
"354","Young"
"355","Young"
"356","Young"
"357","Young"
"358","Young"
"359","Young"
"360","Young"
"361","Young"
"362","Young"
"363","Young"
"364","Young"
"365","Young"
"366","Young"
"367","Young"
"368","Young"
"369","Young"
"370","Young"
"371","Young"
"372","Young"
"373","Young"
"374","Young"
"375","Young"
"376","Young"
"377","Young"
"378","Young"
"379","Young"
"380","Young"
"381","Young"
"382","Young"
"383","Young"
"384","Young"
"385","Young"
"386","Young"
"387","Young"
"388","Young"
"389","Young"
"390","Young"
"391","Young"
"392","Young"
"393","Young"
"394","Young"
"395","Young"
"396","Young"
"397","Young"
"398","Young"
"399","Young"
"400","Young"
"401","Young"
"402","Young"
"403","Young"
"404","Young"
"405","Young"
"406","Young"
"407","Young"
"408","Young"
"409","Young"
"410","Young"
"411","Young"
"412","Young"
"413","Young"
"414","Young"
"415","Young"
"416","Young"
"417","Young"
"418","Young"
"419","Young"
"420","Young"
"421","Young"
"422","Young"
"423","Young"
"424","Young"
"425","Young"
"426","Young"
"427","Young"
"428","Young"
"429","Young"
"430","Young"
"431","Young"
"432","Young"
"433","Young"
"434","Young"
"435","Young"
"436","Young"
"437","Young"
"438","Young"
"439","Young"
"440","Young"
"441","Young"
"442","Young"
"443","Young"
"444","Young"
"445","Young"
"446","Young"
"447","Young"
"448","Young"
"449","Young"
"450","Young"
"451","Young"
"452","Young"
"453","Young"
"454","Young"
"455","Young"
"456","Young"
"457","Young"
"458","Young"
"459","Young"
"460","Young"
"461","Young"
"462","Young"
"463","Young"
"464","Young"
"465","Young"
"466","Young"
"467","Young"
"468","Young"
"469","Young"
"470","Young"
"471","Young"
"472","Young"
"473","Young"
"474","Young"
