"","nGene","nUMI","orig.ident","percent.mito","CellType","Collagenase_dependent1","res.0.6"
"Cell_1",878,1364,"Cell",0,"Young",-0.0308901663579153,"4"
"Cell_2",984,2077,"Cell",0,"Young",-0.032936772516594,"1"
"Cell_3",2279,5419,"Cell",0,"Young",-0.372313969644616,"3"
"Cell_4",964,1542,"Cell",0,"Young",0.280978851493709,"1"
"Cell_5",1348,2608,"Cell",0,"Young",-0.359692107361139,"1"
"Cell_6",775,1173,"Cell",0,"Young",0.0251604816167188,"2"
"Cell_7",1516,2762,"Cell",0,"Young",0.184824874764864,"4"
"Cell_8",1401,2969,"Cell",0,"Young",0.000692340983288187,"5"
"Cell_9",861,1323,"Cell",0,"Young",-0.0631068205537737,"2"
"Cell_10",1130,1970,"Cell",0,"Young",0.125476692590064,"4"
"Cell_11",799,1194,"Cell",0,"Young",-0.341469885674006,"0"
"Cell_12",1520,2979,"Cell",0,"Young",0.557136887542614,"8"
"Cell_13",1109,2154,"Cell",0,"Young",-0.148245307877997,"0"
"Cell_14",1073,1840,"Cell",0,"Young",-0.276898046690697,"1"
"Cell_15",581,974,"Cell",0,"Young",0.317701708090881,"2"
"Cell_16",891,1675,"Cell",0,"Young",-0.68404088801067,"0"
"Cell_17",1011,1686,"Cell",0,"Young",-0.199397795677578,"1"
"Cell_18",688,1124,"Cell",0,"Young",-0.621472979576591,"0"
"Cell_19",882,1435,"Cell",0,"Young",-0.236704193638227,"1"
"Cell_20",703,1061,"Cell",0,"Young",-0.398059201081066,"1"
"Cell_21",1030,1702,"Cell",0,"Young",-0.141565184194215,"2"
"Cell_22",798,1182,"Cell",0,"Young",0.0114134906220748,"1"
"Cell_23",1167,2100,"Cell",0,"Young",-0.187914375099515,"2"
"Cell_24",817,1327,"Cell",0,"Young",-0.476725451254221,"0"
"Cell_26",1039,1809,"Cell",0,"Young",-0.115927375903689,"0"
"Cell_27",735,1080,"Cell",0,"Young",0.302447767380428,"2"
"Cell_28",729,1206,"Cell",0,"Young",-0.161961935863119,"0"
"Cell_29",674,1060,"Cell",0,"Young",-0.398534589522018,"0"
"Cell_30",2015,4612,"Cell",0,"Young",0.198613832924265,"6"
"Cell_31",964,1577,"Cell",0,"Young",0.44321040290323,"2"
"Cell_32",625,972,"Cell",0,"Young",-0.258595495311042,"0"
"Cell_33",1832,4070,"Cell",0,"Young",1.40977161814532,"6"
"Cell_34",765,1209,"Cell",0,"Young",-0.224251489154942,"0"
"Cell_35",1226,2131,"Cell",0,"Young",-0.0851474509470865,"2"
"Cell_36",1313,2715,"Cell",0,"Young",-0.441722301933671,"1"
"Cell_37",2115,4932,"Cell",0,"Young",-0.422768335168446,"5"
"Cell_38",1088,2100,"Cell",0,"Young",-0.150176971823772,"0"
"Cell_39",1070,1835,"Cell",0,"Young",-0.159791263210192,"0"
"Cell_40",712,1177,"Cell",0,"Young",0.0699592027627972,"2"
"Cell_42",1336,2521,"Cell",0,"Young",-0.2183027296142,"1"
"Cell_43",836,1421,"Cell",0,"Young",-0.449250260126613,"9"
"Cell_44",887,1508,"Cell",0,"Young",0.403854799865744,"3"
"Cell_45",1072,1995,"Cell",0,"Young",-0.00720206195893103,"1"
"Cell_46",1058,1683,"Cell",0,"Young",0.140637021079465,"3"
"Cell_47",588,1020,"Cell",0,"Young",-0.435083294499545,"0"
"Cell_48",897,1668,"Cell",0,"Young",0.0732219571663926,"1"
"Cell_49",1041,1689,"Cell",0,"Young",-0.399401279623259,"4"
"Cell_50",699,1160,"Cell",0,"Young",-0.324985303527289,"1"
"Cell_51",1418,2602,"Cell",0,"Young",-0.0395883510144445,"3"
"Cell_52",1947,4325,"Cell",0,"Young",-0.061345036540299,"1"
"Cell_53",938,1631,"Cell",0,"Young",0.272273565827158,"1"
"Cell_54",907,1514,"Cell",0,"Young",-0.10784514227897,"0"
"Cell_55",847,1343,"Cell",0,"Young",-0.164763554129344,"3"
"Cell_56",719,1081,"Cell",0,"Young",-0.462708013005109,"0"
"Cell_57",693,1056,"Cell",0,"Young",0.144022951459146,"1"
"Cell_58",1270,2186,"Cell",0,"Young",-0.527893984626582,"0"
"Cell_59",1547,3229,"Cell",0,"Young",-0.0342657597400405,"2"
"Cell_60",744,1147,"Cell",0,"Young",0.0710512122693864,"2"
"Cell_61",972,1717,"Cell",0,"Young",-0.417163174216952,"0"
"Cell_62",1528,3513,"Cell",0,"Young",0.14008732191675,"5"
"Cell_63",968,1591,"Cell",0,"Young",-0.31392524774639,"0"
"Cell_64",960,1626,"Cell",0,"Young",-0.072239133241141,"2"
"Cell_65",617,944,"Cell",0,"Young",-0.202381565154801,"1"
"Cell_66",645,1026,"Cell",0,"Young",-0.174729675654631,"3"
"Cell_67",635,973,"Cell",0,"Young",-0.169339366225752,"0"
"Cell_68",670,1094,"Cell",0,"Young",0.486004770848475,"5"
"Cell_69",677,965,"Cell",0,"Young",-0.400152917151164,"0"
"Cell_70",727,1122,"Cell",0,"Young",-0.249684023247957,"3"
"Cell_71",2016,4354,"Cell",0,"Young",-0.259929430337799,"1"
"Cell_72",1759,3530,"Cell",0,"Young",0.255340986931478,"6"
"Cell_73",902,1433,"Cell",0,"Young",0.892832227774314,"2"
"Cell_74",1542,3358,"Cell",0,"Young",-0.00161086382091402,"6"
"Cell_75",717,1142,"Cell",0,"Young",-0.394163904892452,"0"
"Cell_76",2253,5425,"Cell",0,"Young",0.0304641444339768,"2"
"Cell_77",1038,1930,"Cell",0,"Young",-0.0754942954446461,"1"
"Cell_78",893,1441,"Cell",0,"Young",-0.0162750006113916,"2"
"Cell_79",1465,2908,"Cell",0,"Young",0.399979907068086,"2"
"Cell_80",794,1137,"Cell",0,"Young",-0.25451902724671,"1"
"Cell_81",959,1579,"Cell",0,"Young",-0.346034344364418,"0"
"Cell_82",1307,2336,"Cell",0,"Young",0.268337668410081,"2"
"Cell_83",912,1465,"Cell",0,"Young",-0.379598911734268,"0"
"Cell_84",2186,4901,"Cell",0,"Young",0.404442022918225,"4"
"Cell_85",1401,3167,"Cell",0,"Young",0.487486956207579,"6"
"Cell_86",1278,2148,"Cell",0,"Young",-0.342779954412499,"3"
"Cell_87",1150,2133,"Cell",0,"Young",0.604756532767837,"2"
"Cell_88",1843,3789,"Cell",0,"Young",-0.155501168627274,"3"
"Cell_89",1474,2702,"Cell",0,"Young",0.378605253326862,"5"
"Cell_90",908,1749,"Cell",0,"Young",-0.0979820633159919,"2"
"Cell_91",1513,2915,"Cell",0,"Young",-0.366532382423077,"3"
"Cell_92",825,1213,"Cell",0,"Young",-0.115245681483554,"0"
"Cell_93",1091,1894,"Cell",0,"Young",-0.117734094173927,"1"
"Cell_94",698,1211,"Cell",0,"Young",-0.0960354195984112,"1"
"Cell_95",1090,1892,"Cell",0,"Young",-0.097413317115574,"3"
"Cell_96",636,1100,"Cell",0,"Young",-0.0358731703383927,"0"
"Cell_97",1025,1632,"Cell",0,"Young",-0.289589808338799,"1"
"Cell_98",2342,5114,"Cell",0,"Young",0.356753848970567,"3"
"Cell_99",951,1609,"Cell",0,"Young",-0.324163191915647,"0"
"Cell_100",811,1245,"Cell",0,"Young",-0.387755190458865,"0"
"Cell_101",658,1015,"Cell",0,"Young",0.315420693930039,"2"
"Cell_102",854,1383,"Cell",0,"Young",-0.271708307634406,"3"
"Cell_103",802,1203,"Cell",0,"Young",0.0129551477672499,"2"
"Cell_104",857,1368,"Cell",0,"Young",0.366723157189728,"1"
"Cell_105",645,954,"Cell",0,"Young",-0.210589982965627,"5"
"Cell_106",841,1860,"Cell",0,"Young",-0.583237836773575,"0"
"Cell_107",1195,2356,"Cell",0,"Young",-0.414498906493024,"1"
"Cell_108",666,1021,"Cell",0,"Young",-0.167461372337916,"1"
"Cell_109",933,1650,"Cell",0,"Young",-0.205777612642239,"0"
"Cell_110",910,1441,"Cell",0,"Young",-0.438776408340669,"0"
"Cell_111",1836,3806,"Cell",0,"Young",-0.11320438667077,"5"
"Cell_113",2170,4502,"Cell",0,"Young",0.0798296070204277,"10"
"Cell_114",1071,1826,"Cell",0,"Young",-0.678388328856722,"0"
"Cell_115",639,957,"Cell",0,"Young",-0.068658404408559,"1"
"Cell_116",1693,3753,"Cell",0,"Young",-0.41000466445346,"1"
"Cell_117",1084,2035,"Cell",0,"Young",-0.22581870010091,"1"
"Cell_118",1544,3364,"Cell",0,"Young",-0.350130050775541,"1"
"Cell_119",827,1216,"Cell",0,"Young",0.273448670801834,"3"
"Cell_120",1251,2472,"Cell",0,"Young",0.121771092548858,"6"
"Cell_121",763,1284,"Cell",0,"Young",-0.636552864649465,"0"
"Cell_122",801,1244,"Cell",0,"Young",-0.354555557761373,"0"
"Cell_123",1024,1783,"Cell",0,"Young",-0.270599571651105,"1"
"Cell_124",1058,1796,"Cell",0,"Young",-0.0952810538479137,"0"
"Cell_125",857,1422,"Cell",0,"Young",-0.421793537686178,"0"
"Cell_126",737,1109,"Cell",0,"Young",0.0844729119869325,"2"
"Cell_127",684,1102,"Cell",0,"Young",-0.433070764588264,"0"
